id,host_id,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
45393,201297,Manhattan,West Village,Entire home/apt,150,26,38,20-04-2016,0.36,1,225
45542,202249,Manhattan,Harlem,Entire home/apt,100,2,18,17-12-2018,1.79,1,0
45556,67778,Brooklyn,Fort Greene,Private room,65,2,206,30-06-2019,1.92,2,0
45910,204539,Queens,Ridgewood,Entire home/apt,350,8,10,12-05-2019,0.11,5,365
45936,867225,Manhattan,Morningside Heights,Private room,99,4,122,14-05-2019,1.18,2,233
45940,204724,Brooklyn,Williamsburg,Entire home/apt,200,4,33,08-04-2019,0.58,1,1
46544,8198,Brooklyn,Park Slope,Entire home/apt,150,5,52,05-06-2019,0.5,1,18
46723,209460,Brooklyn,Bedford-Stuyvesant,Private room,90,3,126,19-05-2019,1.17,4,343
46911,210746,Brooklyn,Prospect Heights,Private room,120,3,51,24-06-2019,0.48,3,250
47199,212722,Manhattan,Upper East Side,Private room,75,3,199,24-06-2019,1.85,1,326
47362,214148,Brooklyn,Bedford-Stuyvesant,Entire home/apt,175,26,30,03-09-2012,0.29,1,364
47370,214287,Manhattan,Chelsea,Entire home/apt,125,3,3,17-07-2015,0.03,1,0
47926,218404,Manhattan,Hell's Kitchen,Entire home/apt,275,1,41,26-06-2019,0.38,1,299
48719,221873,Manhattan,Lower East Side,Entire home/apt,299,2,109,15-06-2019,1.04,1,207
50447,9744,Brooklyn,South Slope,Entire home/apt,135,5,151,22-06-2019,1.43,3,162
51438,236421,Manhattan,Upper East Side,Private room,130,14,0,22-06-2019,1.43,2,0
51485,236655,Manhattan,Lower East Side,Private room,83,1,285,22-06-2019,2.69,1,7
51572,237329,Manhattan,Chelsea,Private room,123,1,375,18-06-2019,3.52,1,328
51850,27848,Queens,Jamaica,Private room,55,2,52,20-05-2019,0.49,2,365
53137,240360,Manhattan,Hell's Kitchen,Entire home/apt,195,5,10,01-07-2019,1.01,1,0
53196,247432,Brooklyn,Bedford-Stuyvesant,Private room,80,2,11,13-11-2017,0.48,1,0
53469,204539,Queens,Middle Village,Entire home/apt,98,30,33,09-05-2015,0.31,5,240
53470,204539,Queens,Ridgewood,Private room,140,7,6,08-10-2015,0.06,5,365
53477,204539,Queens,Middle Village,Entire home/apt,265,7,38,27-04-2019,0.38,5,365
54158,10889,Brooklyn,Williamsburg,Entire home/apt,249,2,358,20-06-2019,3.44,2,164
54453,255583,Manhattan,Hell's Kitchen,Shared room,105,6,10,07-01-2014,0.09,1,363
54466,253385,Manhattan,Harlem,Private room,200,30,0,22-06-2019,1.43,1,365
54508,210746,Brooklyn,Prospect Heights,Private room,100,2,226,06-06-2019,2.12,3,250
54544,256161,Manhattan,Harlem,Entire home/apt,121,1,104,22-06-2019,1,5,247
54626,190409,Bronx,Highbridge,Private room,45,1,138,30-06-2019,1.45,3,323
54860,258164,Manhattan,East Harlem,Private room,100,5,204,23-06-2019,1.92,1,192
55467,260709,Brooklyn,Williamsburg,Entire home/apt,140,2,253,02-07-2019,3.04,1,125
55498,262138,Brooklyn,Bedford-Stuyvesant,Private room,71,2,23,01-07-2019,0.22,1,91
55668,88209,Manhattan,NoHo,Private room,130,2,115,05-12-2018,1.17,1,75
55737,263414,Manhattan,West Village,Entire home/apt,199,5,129,19-05-2019,1.22,1,286
55959,168525,Brooklyn,Williamsburg,Private room,69,4,82,10-06-2019,1.13,2,60
55982,264928,Brooklyn,Fort Greene,Private room,68,3,37,31-12-2018,0.35,1,0
56467,267593,Manhattan,East Village,Entire home/apt,130,1,204,01-07-2019,2.04,1,192
56525,268014,Brooklyn,Greenpoint,Entire home/apt,195,2,69,13-06-2019,0.65,1,58
56859,256161,Manhattan,Harlem,Private room,64,1,192,03-06-2019,1.84,5,245
57166,272006,Queens,Ditmars Steinway,Entire home/apt,140,2,17,17-06-2019,0.16,1,292
57297,199392,Brooklyn,Cobble Hill,Entire home/apt,159,2,222,24-06-2019,2.12,1,279
57468,239208,Manhattan,East Village,Entire home/apt,189,3,205,23-06-2019,1.96,1,0
57618,274557,Manhattan,Hell's Kitchen,Entire home/apt,250,3,94,09-06-2019,0.96,1,3
57740,275459,Manhattan,East Village,Entire home/apt,239,3,7,24-05-2019,0.07,1,351
57754,275578,Manhattan,Flatiron District,Entire home/apt,305,2,108,30-06-2019,1.09,1,201
57874,276291,Manhattan,Harlem,Entire home/apt,155,3,222,26-06-2019,2.1,2,232
58059,277379,Manhattan,Harlem,Private room,60,1,458,03-07-2019,4.58,2,258
58062,277394,Brooklyn,Windsor Terrace,Private room,135,2,21,17-05-2019,0.26,1,272
58467,279797,Manhattan,Roosevelt Island,Private room,120,7,17,08-05-2019,0.3,1,341
59014,282927,Manhattan,Lower East Side,Entire home/apt,150,3,41,02-01-2019,0.39,1,244
59121,204539,Queens,Ridgewood,Entire home/apt,140,14,1,17-09-2012,0.01,5,365
59642,274782,Brooklyn,Greenpoint,Entire home/apt,135,2,69,19-05-2019,0.67,1,12
59709,186084,Manhattan,Chinatown,Entire home/apt,250,4,18,01-07-2019,0.18,2,265
59855,288031,Manhattan,Midtown,Entire home/apt,250,30,82,05-01-2016,0.78,1,0
60164,289653,Manhattan,SoHo,Entire home/apt,500,4,94,23-06-2019,0.99,1,329
60457,99212,Manhattan,Greenwich Village,Entire home/apt,225,5,10,11-05-2019,0.1,1,91
60611,292204,Manhattan,East Harlem,Entire home/apt,125,28,183,29-09-2018,1.83,2,365
60666,256161,Manhattan,Harlem,Private room,92,1,189,11-06-2019,1.82,5,253
60673,249372,Manhattan,Harlem,Private room,175,2,1,07-10-2018,0.11,1,365
60680,292630,Manhattan,East Village,Entire home/apt,99,2,127,20-06-2019,1.22,1,320
60794,293394,Manhattan,Upper West Side,Entire home/apt,195,4,4,25-08-2017,0.04,1,0
60948,126607,Manhattan,East Harlem,Entire home/apt,140,3,135,20-06-2019,1.3,3,192
61167,295760,Manhattan,Little Italy,Entire home/apt,135,2,21,12-12-2015,0.2,1,0
61224,291112,Manhattan,Chelsea,Entire home/apt,500,2,35,27-07-2017,0.34,1,348
61406,297176,Manhattan,Harlem,Private room,80,14,10,01-06-2019,2.21,2,0
61492,297769,Manhattan,Chinatown,Private room,120,4,171,23-06-2019,1.8,2,353
61509,23619,Manhattan,Midtown,Entire home/apt,110,200,92,30-04-2019,0.9,1,140
62095,281764,Brooklyn,East Flatbush,Entire home/apt,65,3,238,14-06-2019,2.3,1,2
62427,303882,Manhattan,East Village,Entire home/apt,130,50,56,26-05-2019,0.58,1,56
62430,197755,Brooklyn,Bushwick,Entire home/apt,99,3,111,22-06-2019,2.13,1,68
62452,303939,Staten Island,Tompkinsville,Private room,36,2,193,25-06-2019,1.85,6,360
62461,303939,Staten Island,Tompkinsville,Private room,37,2,147,10-06-2019,1.44,6,0
62787,303939,Staten Island,Tompkinsville,Private room,37,2,177,02-07-2019,1.71,6,320
62891,306545,Manhattan,East Village,Entire home/apt,175,3,185,24-05-2019,1.78,2,326
62903,306605,Manhattan,Chelsea,Entire home/apt,205,9,62,21-06-2019,0.7,2,76
62925,306739,Brooklyn,Greenpoint,Entire home/apt,285,3,124,16-06-2019,1.22,3,279
63299,308875,Brooklyn,Williamsburg,Private room,59,2,181,23-06-2019,1.77,2,15
63320,303939,Staten Island,Tompkinsville,Private room,36,2,333,02-07-2019,3.19,6,340
63360,307962,Queens,Astoria,Entire home/apt,99,5,441,24-06-2019,4.5,1,226
63546,308652,Brooklyn,Kensington,Private room,39,1,45,16-05-2019,0.46,2,365
63573,310458,Brooklyn,Park Slope,Private room,60,14,9,29-08-2016,0.09,2,0
63610,310670,Bronx,Eastchester,Entire home/apt,105,2,38,27-06-2019,0.5,13,365
63657,170510,Brooklyn,Bedford-Stuyvesant,Entire home/apt,135,2,248,25-06-2019,2.39,2,11
63693,306545,Manhattan,East Village,Entire home/apt,390,5,143,19-06-2019,1.38,2,316
63719,311286,Brooklyn,Bedford-Stuyvesant,Private room,70,3,36,19-08-2018,0.41,4,281
64000,312722,Brooklyn,Williamsburg,Private room,60,17,14,07-01-2019,0.14,4,362
64107,313317,Brooklyn,Crown Heights,Private room,100,3,279,24-06-2019,2.69,1,301
64277,311286,Brooklyn,Bedford-Stuyvesant,Private room,70,4,18,02-01-2019,0.22,4,189
64314,314256,Brooklyn,Crown Heights,Private room,110,6,50,26-05-2019,3.55,1,0
64365,314582,Brooklyn,Crown Heights,Private room,60,2,227,27-06-2019,2.27,2,287
64707,7310,Manhattan,Little Italy,Entire home/apt,90,14,1,02-01-2019,0.16,1,14
64837,46978,Manhattan,East Village,Private room,68,2,203,23-06-2019,1.96,2,86
65019,317809,Manhattan,Upper West Side,Entire home/apt,115,2,210,06-07-2019,2.1,1,261
65268,319092,Brooklyn,Bedford-Stuyvesant,Private room,75,5,64,05-01-2019,0.67,1,68
65562,320450,Manhattan,East Village,Entire home/apt,129,7,5,03-01-2019,0.15,1,231
65615,320761,Brooklyn,Williamsburg,Entire home/apt,130,10,49,29-06-2019,0.48,1,152
65660,320538,Brooklyn,Williamsburg,Entire home/apt,95,4,132,07-07-2019,1.27,1,46
65813,321756,Manhattan,Harlem,Private room,75,3,20,02-01-2019,0.26,1,364
65834,321934,Brooklyn,Park Slope,Entire home/apt,175,2,11,02-05-2013,0.11,1,246
66008,322884,Brooklyn,Carroll Gardens,Entire home/apt,190,3,51,01-07-2019,0.57,1,288
66026,322716,Brooklyn,Crown Heights,Private room,49,21,15,30-06-2019,0.15,5,331
66251,324460,Manhattan,East Village,Entire home/apt,212,3,67,25-06-2019,1.31,1,51
66275,314941,Manhattan,Lower East Side,Private room,95,1,109,23-06-2019,1.11,3,364
66451,325389,Brooklyn,Williamsburg,Entire home/apt,140,2,9,16-02-2019,0.11,1,254
66718,136227,Manhattan,Harlem,Entire home/apt,135,6,187,23-06-2019,1.87,1,189
66741,327673,Brooklyn,Park Slope,Entire home/apt,150,2,214,23-06-2019,2.08,2,263
66974,329436,Brooklyn,Gowanus,Entire home/apt,190,3,69,01-07-2019,0.79,2,258
67288,101597,Manhattan,East Harlem,Entire home/apt,124,28,22,15-06-2019,0.26,1,103
67299,330347,Brooklyn,Williamsburg,Entire home/apt,135,30,56,06-05-2019,0.56,1,42
67397,332189,Manhattan,Morningside Heights,Private room,122,3,93,22-06-2019,0.93,1,246
68099,323517,Manhattan,Upper West Side,Private room,109,1,104,25-06-2019,1.05,2,364
68305,338454,Manhattan,Harlem,Private room,85,30,64,06-07-2018,0.68,1,318
68403,240427,Brooklyn,Bedford-Stuyvesant,Entire home/apt,145,3,127,24-06-2019,1.25,2,72
68735,342054,Manhattan,Upper West Side,Entire home/apt,195,11,30,13-06-2019,0.32,1,249
68765,282655,Brooklyn,Carroll Gardens,Entire home/apt,250,2,106,27-06-2019,1.34,3,272
68900,343250,Brooklyn,Greenpoint,Private room,125,3,6,13-11-2016,0.1,1,325
68974,281229,Manhattan,Little Italy,Entire home/apt,575,2,191,20-06-2019,1.88,1,298
69894,352168,Manhattan,Upper West Side,Entire home/apt,150,30,48,11-06-2019,0.55,1,35
69921,155689,Brooklyn,Bushwick,Private room,70,5,47,29-06-2019,0.49,1,203
