Employee Identifier,Year End Date,Organization Group Code,Organization Group,Department Code,Department,Union Code,Union,Job Code,Job,Salaries,Overtime,Other Salaries,Total Salary
13400,31-03-2014,5,Culture & Recreation,LIB,LIB Public Library,790,"SEIU - Miscellaneous, Local 1021",3602,Library Page,17743.88,0,158.16,17902.04
380,31-03-2013,5,Culture & Recreation,REC,REC Recreation & Park Commsn,261,"Laborers, Local 261",3434,Arborist Technician,76945.2,693.75,645.8,78284.75
24570,31-03-2013,4,Community Health,DPH,DPH Public Health,250,"SEIU - Health Workers, Local 1021",2736,Porter,45774.27,462.26,4428.41,50664.94
11030,31-03-2016,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,253,"Transport Workers - Transit Operators, Local 250-A",9163,Transit Operator,71031.89,24709.34,6471.83,102213.06
54379,31-03-2013,4,Community Health,DPH,DPH Public Health,250,"SEIU - Health Workers, Local 1021",2303,Patient Care Assistant,44805.4,5413.81,2607.58,52826.79
32327,31-03-2017,2,"Public Works, Transportation & Commerce",DBI,DBI Building Inspection,21,"Prof & Tech Engineers - Miscellaneous, Local 21",6270,Housing Inspector,104344.24,0,4173.76,108518
34875,31-03-2014,5,Culture & Recreation,REC,REC Recreation & Park Commsn,790,"SEIU - Miscellaneous, Local 1021",3279,Recreation Leader,9361.69,0,260.1,9621.79
4932,31-03-2015,4,Community Health,DPH,DPH Public Health,791,"SEIU - Staff and Per Diem Nurses, Local 1021",P103,Special Nurse,26827.63,0,440.8,27268.43
55126,31-03-2016,1,Public Protection,CRT,CRT Superior Court,792,"SEIU - Court Employees, Local 1021",420C,Deputy Court Clerk II,56846.5,0,3000,59846.5
21989,31-03-2016,6,General Administration & Finance,HRD,HRD Human Resources,21,"Prof & Tech Engineers - Miscellaneous, Local 21",1654,Accountant III,49961.71,0,0,49961.71
25739,31-03-2013,6,General Administration & Finance,ADM,ADM Gen Svcs Agency-City Admin,21,"Prof & Tech Engineers - Miscellaneous, Local 21",1063,IS Programmer Analyst-Senior,95521.94,0,0,95521.94
16628,31-03-2016,1,Public Protection,POL,POL Police,911,Police Officers' Association,Q002,Police Officer,82319,7903.88,5136.37,95359.25
17851,31-03-2013,2,"Public Works, Transportation & Commerce",HHP,HHP Hetch Hetchy Water & Power,21,"Prof & Tech Engineers - Miscellaneous, Local 21",5201,Junior Engineer,75369.08,0,0,75369.08
12815,31-03-2015,5,Culture & Recreation,REC,REC Recreation & Park Commsn,790,"SEIU - Miscellaneous, Local 1021",3286,Recreation Coordinator,8303.5,0,308.32,8611.82
39303,31-03-2013,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,253,"Transport Workers - Transit Operators, Local 250-A",9163,Transit Operator,63905.5,11418.87,4731.77,80056.14
44062,31-03-2013,5,Culture & Recreation,FAM,FAM Fine Arts Museum,790,"SEIU - Miscellaneous, Local 1021",9910,Public Service Trainee,12992,0,0,12992
11371,31-03-2016,2,"Public Works, Transportation & Commerce",AIR,AIR Airport Commission,21,"Prof & Tech Engineers - Miscellaneous, Local 21",5364,Engineering Associate 1,85229.21,0,0,85229.21
1436,31-03-2016,1,Public Protection,POL,POL Police,790,"SEIU - Miscellaneous, Local 1021",1424,Clerk Typist,57679.2,290.97,1635.45,59605.62
51679,31-03-2015,1,Public Protection,FIR,FIR Fire Department,798,"Firefighters - Miscellaneous, Local 798",H020,"Lieutenant, Fire Suppression",129744.04,8621.6,16323.56,154689.2
5406,31-03-2017,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,21,"Prof & Tech Engineers - Miscellaneous, Local 21",1314,Public Relations Officer,102338.11,0,0,102338.11
4794,31-03-2013,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,21,"Prof & Tech Engineers - Miscellaneous, Local 21",5382,"Stdntdsgntrain3, Arch/Eng/Plng",1064,0,0,1064
1843,31-03-2015,3,Human Welfare & Neighborhood Development,DSS,HSA Human Services Agency,535,"SEIU - Human Services, Local 1021",2903,Eligibility Worker,3172.5,0,0,3172.5
23285,31-03-2017,2,"Public Works, Transportation & Commerce",CLP,HHP CleanPowerSF,21,"Prof & Tech Engineers - Miscellaneous, Local 21",5602,Utility Specialist,62100,0,0,62100
55917,31-03-2016,4,Community Health,DPH,DPH Public Health,250,"SEIU - Health Workers, Local 1021",2416,Laboratory Technician II,67719.41,80.27,628.8,68428.48
50154,31-03-2013,1,Public Protection,FIR,FIR Fire Department,798,"Firefighters - Miscellaneous, Local 798",H002,Firefighter,112180.99,5082.28,15016.18,132279.45
17630,31-03-2014,6,General Administration & Finance,CPC,CPC City Planning,21,"Prof & Tech Engineers - Miscellaneous, Local 21",5278,Planner 2,83310.04,0,0,83310.04
10587,31-03-2013,4,Community Health,DPH,DPH Public Health,791,"SEIU - Staff and Per Diem Nurses, Local 1021",2320,Registered Nurse,125585.23,240.7,26466.06,152291.99
21621,31-03-2016,6,General Administration & Finance,ADM,ADM Gen Svcs Agency-City Admin,856,"Teamsters - Miscellaneous, Local 856",3372,Animal Control Officer,52756.33,1558.18,1858.67,56173.18
47837,31-03-2016,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,253,"Transport Workers - Transit Operators, Local 250-A",9163,Transit Operator,475.62,0,0,475.62
36868,31-03-2013,2,"Public Works, Transportation & Commerce",AIR,AIR Airport Commission,261,"Laborers, Local 261",3417,Gardener,21040.6,970.2,264.6,22275.4
18611,31-03-2013,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,253,"Transport Workers - Transit Operators, Local 250-A",9163,Transit Operator,61764.54,7194.63,557.17,69516.34
29794,31-03-2013,5,Culture & Recreation,REC,REC Recreation & Park Commsn,261,"Laborers, Local 261",3417,Gardener,16207.5,0,0,16207.5
31309,31-03-2014,4,Community Health,DPH,DPH Public Health,790,"SEIU - Miscellaneous, Local 1021",2587,Health Worker 3,64036.8,610.8,651.4,65299
32809,31-03-2014,3,Human Welfare & Neighborhood Development,DSS,HSA Human Services Agency,790,"SEIU - Miscellaneous, Local 1021",1426,Senior Clerk Typist,45943.88,0,0,45943.88
37710,31-03-2017,6,General Administration & Finance,TTX,TTX Treasurer/Tax Collector,790,"SEIU - Miscellaneous, Local 1021",1634,Principal Account Clerk,61171.45,0,0,61171.45
4518,31-03-2015,2,"Public Works, Transportation & Commerce",AIR,AIR Airport Commission,790,"SEIU - Miscellaneous, Local 1021",2708,Custodian,55955.7,0,2576.4,58532.1
11012,31-03-2014,6,General Administration & Finance,ADM,ADM Gen Svcs Agency-City Admin,790,"SEIU - Miscellaneous, Local 1021",1404,Clerk,37953.34,0,0,37953.34
16085,31-03-2015,4,Community Health,DPH,DPH Public Health,21,"Prof & Tech Engineers - Miscellaneous, Local 21",2548,Occupational Therapist,110317.84,0,0,110317.84
10436,31-03-2014,1,Public Protection,POL,POL Police,790,"SEIU - Miscellaneous, Local 1021",9209,Community Police Services Aide,64748.23,337.92,6407.27,71493.42
38185,31-03-2014,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,790,"SEIU - Miscellaneous, Local 1021",1404,Clerk,51537.9,31739.97,7251.16,90529.03
6116,31-03-2017,1,Public Protection,POL,POL Police,911,Police Officers' Association,Q003,Police Officer 2,111583.93,8586.76,14919.03,135089.72
19187,31-03-2017,4,Community Health,DPH,DPH Public Health,250,"SEIU - Health Workers, Local 1021",2430,Medical Evaluations Assistant,58145.92,160.18,1887.69,60193.79
35627,31-03-2015,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,6,"Electrical Workers, Local 6",7371,Electrical Transit System Mech,13493.4,14497.58,2259.34,30250.32
41002,31-03-2013,2,"Public Works, Transportation & Commerce",PUC,PUB Public Utilities Bureaus,790,"SEIU - Miscellaneous, Local 1021",9922,PS Aide To Prof,3573.6,865.47,0,4439.07
3956,31-03-2015,1,Public Protection,CRT,CRT Superior Court,792,"SEIU - Court Employees, Local 1021",420C,Deputy Court Clerk II,74412.04,196.76,1040,75648.8
54509,31-03-2017,4,Community Health,DPH,DPH Public Health,250,"SEIU - Health Workers, Local 1021",2303,Patient Care Assistant,74230.61,24680.55,11400.29,110311.45
36758,31-03-2017,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,253,"Transport Workers - Transit Operators, Local 250-A",9163,Transit Operator,51291.89,4996.61,2704.48,58992.98
38550,31-03-2017,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,253,"Transport Workers - Transit Operators, Local 250-A",9163,Transit Operator,71775.82,10520.54,2564.29,84860.65
46618,31-03-2017,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,253,"Transport Workers - Transit Operators, Local 250-A",9163,Transit Operator,74249.34,14787.61,4082.03,93118.98
23119,31-03-2016,1,Public Protection,POL,POL Police,790,"SEIU - Miscellaneous, Local 1021",8274,Police Cadet,18787.07,0,0,18787.07
39966,31-03-2016,4,Community Health,DPH,DPH Public Health,250,"SEIU - Health Workers, Local 1021",2303,Patient Care Assistant,43903,2402.35,3907.1,50212.45
19879,31-03-2014,2,"Public Works, Transportation & Commerce",PUC,PUB Public Utilities Bureaus,790,"SEIU - Miscellaneous, Local 1021",9920,Publ Svc Aide-Asst To Prof,3878.68,0,0,3878.68
49408,31-03-2013,2,"Public Works, Transportation & Commerce",HHP,HHP Hetch Hetchy Water & Power,21,"Prof & Tech Engineers - Miscellaneous, Local 21",5207,Assoc Engineer,96749.33,0,0,96749.33
25196,31-03-2015,2,"Public Works, Transportation & Commerce",PUC,PUB Public Utilities Bureaus,22,"Prof & Tech Engineers - Personnel, Local 21",1452,Executive Secretary 2,80687.78,0,0,80687.78
48913,31-03-2013,1,Public Protection,SHF,SHF Sheriff,498,Deputy Sheriffs' Association,8304,Deputy Sheriff,85111.1,17931.54,13814.94,116857.58
41490,31-03-2016,2,"Public Works, Transportation & Commerce",CWP,WWE Wastewater Enterprise,39,"Stationary Engineers, Local 39",7252,"Chf Stationary Eng, Sew Plant",120688.08,28311.4,6304.63,155304.11
14594,31-03-2017,2,"Public Works, Transportation & Commerce",AIR,AIR Airport Commission,351,Municipal Executive Association - Miscellaneous,965,Dept Head V,14422.14,0,0,14422.14
32784,31-03-2014,2,"Public Works, Transportation & Commerce",DPW,DPW GSA - Public Works,261,"Laborers, Local 261",7514,General Laborer,60905.01,1124.44,8313.64,70343.09
800,31-03-2014,2,"Public Works, Transportation & Commerce",CWP,WWE Wastewater Enterprise,21,"Prof & Tech Engineers - Miscellaneous, Local 21",2486,Chemist I/II,78638.32,0,0,78638.32
11776,31-03-2013,1,Public Protection,POL,POL Police,790,"SEIU - Miscellaneous, Local 1021",1426,Senior Clerk Typist,57876.02,10225.72,0,68101.74
43194,31-03-2014,3,Human Welfare & Neighborhood Development,DSS,HSA Human Services Agency,1,Miscellaneous Unrepresented Employees,9916,Public Svc Aide-Public Works,4092.75,0,65.21,4157.96
10180,31-03-2015,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,200,"Transportation Workers, Local 200",9139,Transit Supervisor,90984.6,2561.14,2436,95981.74
16473,31-03-2016,2,"Public Works, Transportation & Commerce",PUC,PUB Public Utilities Bureaus,38,"Plumbers and Pipefitters, Local 38",7316,Water Service Inspector,94691.33,546.45,0,95237.78
24554,31-03-2013,2,"Public Works, Transportation & Commerce",AIR,AIR Airport Commission,790,"SEIU - Miscellaneous, Local 1021",2708,Custodian,53191.8,0,6420.11,59611.91
45593,31-03-2017,2,"Public Works, Transportation & Commerce",PUC,PUB Public Utilities Bureaus,21,"Prof & Tech Engineers - Miscellaneous, Local 21",1652,Accountant II,16314,0,0,16314
11688,31-03-2015,1,Public Protection,POL,POL Police,911,Police Officers' Association,Q003,Police Officer 2,115406.95,35812.5,13921.17,165140.62
52726,31-03-2016,2,"Public Works, Transportation & Commerce",DPW,DPW GSA - Public Works,580,"Cement Masons, Local 300",7311,Cement Mason,43338.82,248.36,0,43587.18
15762,31-03-2014,2,"Public Works, Transportation & Commerce",DPW,DPW GSA - Public Works,261,"Laborers, Local 261",7514,General Laborer,36505.52,0,995.85,37501.37
19200,31-03-2015,4,Community Health,DPH,DPH Public Health,791,"SEIU - Staff and Per Diem Nurses, Local 1021",P103,Special Nurse,41867.47,0,10772.16,52639.63
14682,31-03-2013,3,Human Welfare & Neighborhood Development,DSS,HSA Human Services Agency,164,Physicians and Dentists - Miscellaneous,2230,Physician Specialist,55604.63,0,0,55604.63
30063,31-03-2017,3,Human Welfare & Neighborhood Development,DSS,HSA Human Services Agency,535,"SEIU - Human Services, Local 1021",2918,HSA Social Worker,84084.15,0,696,84780.15
56596,31-03-2015,6,General Administration & Finance,ADM,ADM Gen Svcs Agency-City Admin,323,Members of Boards and Commissions,112,"Bdcomm Mbr, Grp3,M=$50/Mtg",700,0,0,700
434,31-03-2017,1,Public Protection,FIR,FIR Fire Department,798,"Firefighters - Miscellaneous, Local 798",H002,Firefighter,113544.69,17967.12,18330,149841.81
16201,31-03-2015,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,790,"SEIU - Miscellaneous, Local 1021",8201,School Crossing Guard,8306.23,0,61.31,8367.54
33479,31-03-2017,3,Human Welfare & Neighborhood Development,CSS,CSS Child Support Services,790,"SEIU - Miscellaneous, Local 1021",8158,Child Support Officer II,56493.69,0,0,56493.69
42867,31-03-2015,4,Community Health,DPH,DPH Public Health,791,"SEIU - Staff and Per Diem Nurses, Local 1021",P103,Special Nurse,30115.43,0,1476.12,31591.55
52061,31-03-2013,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,130,"Automotive Machinists, Local 1414",7249,Automotive Mechanic Sprv 1,0,0,3036.99,3036.99
15308,31-03-2016,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,790,"SEIU - Miscellaneous, Local 1021",9102,Transit Car Cleaner,64121.4,24566.58,13909.34,102597.32
27226,31-03-2013,4,Community Health,DPH,DPH Public Health,791,"SEIU - Staff and Per Diem Nurses, Local 1021",P103,Special Nurse,38709.05,112.93,6097.49,44919.47
3353,31-03-2015,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,253,"Transport Workers - Transit Operators, Local 250-A",9163,Transit Operator,67843.84,28275.78,7961.74,104081.36
5183,31-03-2016,4,Community Health,DPH,DPH Public Health,250,"SEIU - Health Workers, Local 1021",2604,Food Service Worker,10971.3,0,864.96,11836.26
5077,31-03-2013,5,Culture & Recreation,REC,REC Recreation & Park Commsn,790,"SEIU - Miscellaneous, Local 1021",3286,Recreation Coordinator,59124.32,0,525.53,59649.85
43467,31-03-2013,2,"Public Works, Transportation & Commerce",HHP,HHP Hetch Hetchy Water & Power,21,"Prof & Tech Engineers - Miscellaneous, Local 21",1052,IS Business Analyst,87053.21,0,0,87053.21
47332,31-03-2017,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,253,"Transport Workers - Transit Operators, Local 250-A",9163,Transit Operator,47523.73,3756.75,645.08,51925.56
40158,31-03-2016,3,Human Welfare & Neighborhood Development,DSS,HSA Human Services Agency,535,"SEIU - Human Services, Local 1021",2905,Senior Eligibility Worker,75217.47,18118.76,1936.7,95272.93
30145,31-03-2017,2,"Public Works, Transportation & Commerce",AIR,AIR Airport Commission,21,"Prof & Tech Engineers - Miscellaneous, Local 21",9206,Airport Property Specialist 1,111436.15,0,0,111436.15
2891,31-03-2014,6,General Administration & Finance,ADM,ADM Gen Svcs Agency-City Admin,790,"SEIU - Miscellaneous, Local 1021",1324,Customer Service Agent,65559.65,0,2408.15,67967.8
50684,31-03-2016,3,Human Welfare & Neighborhood Development,DSS,HSA Human Services Agency,535,"SEIU - Human Services, Local 1021",2913,Program Specialist,43622.35,101.62,0,43723.97
20141,31-03-2015,2,"Public Works, Transportation & Commerce",WTR,WTR Water Enterprise,790,"SEIU - Miscellaneous, Local 1021",7542,Watershed Worker (Seasonal),1976.4,0,0,1976.4
45187,31-03-2013,3,Human Welfare & Neighborhood Development,CHF,CHF Children;Youth & Families,21,"Prof & Tech Engineers - Miscellaneous, Local 21",1052,IS Business Analyst,88860.23,0,0,88860.23
10634,31-03-2017,6,General Administration & Finance,CON,CON Controller,21,"Prof & Tech Engineers - Miscellaneous, Local 21",1654,Accountant III,1903.5,0,0,1903.5
3711,31-03-2015,3,Human Welfare & Neighborhood Development,DSS,HSA Human Services Agency,535,"SEIU - Human Services, Local 1021",2918,HSA Social Worker,71484.51,0,568.8,72053.31
29778,31-03-2014,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,6,"Electrical Workers, Local 6",7371,Electrical Transit System Mech,34188,10589.51,4845.53,49623.04
29964,31-03-2017,4,Community Health,DPH,DPH Public Health,250,"SEIU - Health Workers, Local 1021",1428,Unit Clerk,0,0,11521.19,11521.19
33080,31-03-2016,2,"Public Works, Transportation & Commerce",DPW,DPW GSA - Public Works,6,"Electrical Workers, Local 6",7345,Electrician,99836.8,2037.27,1166,103040.07
21730,31-03-2017,5,Culture & Recreation,REC,REC Recreation & Park Commsn,790,"SEIU - Miscellaneous, Local 1021",3264,Camp Assistant,2164.5,0,0,2164.5
31392,31-03-2014,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,6,"Electrical Workers, Local 6",7371,Electrical Transit System Mech,80938.8,231,7162.35,88332.15
1373,31-03-2014,5,Culture & Recreation,REC,REC Recreation & Park Commsn,790,"SEIU - Miscellaneous, Local 1021",3209,Swimming Instructor,3809.19,0,23.56,3832.75
50923,31-03-2013,1,Public Protection,SHF,SHF Sheriff,790,"SEIU - Miscellaneous, Local 1021",8300,Sheriff's Cadet,8728.49,220.05,1000.82,9949.36
16993,31-03-2016,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,790,"SEIU - Miscellaneous, Local 1021",8214,Parking Control Officer,45320.45,1365.85,1154,47840.3
52871,31-03-2015,4,Community Health,DPH,DPH Public Health,791,"SEIU - Staff and Per Diem Nurses, Local 1021",2320,Registered Nurse,108395.85,4528.29,9937.29,122861.43
39903,31-03-2016,4,Community Health,DPH,DPH Public Health,164,Physicians and Dentists - Miscellaneous,2232,Senior Physician Specialist,169979.42,0,34136.9,204116.32
51563,31-03-2013,1,Public Protection,CRT,CRT Superior Court,792,"SEIU - Court Employees, Local 1021",430C,Deputy Court Clerk III,87521.98,0,4131.02,91653
52079,31-03-2013,1,Public Protection,PDR,PDR Public Defender,790,"SEIU - Miscellaneous, Local 1021",1430,Transcriber Typist,57876.02,0,0,57876.02
22867,31-03-2015,6,General Administration & Finance,HRD,HRD Human Resources,22,"Prof & Tech Engineers - Personnel, Local 21",1231,EEO Senior Specialist,83407.7,0,4080.39,87488.09
13066,31-03-2017,1,Public Protection,DAT,DAT District Attorney,419,District Attorney Investigators' Association,8550,Dist Atty Investigator (SFERS),116353.88,8820.17,6981.23,132155.28
33678,31-03-2017,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,790,"SEIU - Miscellaneous, Local 1021",8201,School Crossing Guard,3019.66,0,223.55,3243.21
21806,31-03-2017,3,Human Welfare & Neighborhood Development,DSS,HSA Human Services Agency,790,"SEIU - Miscellaneous, Local 1021",1446,Secretary 2,0,0,2920.3,2920.3
50846,31-03-2014,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,253,"Transport Workers - Transit Operators, Local 250-A",9163,Transit Operator,59580.5,1222.74,414.85,61218.09
56896,31-03-2014,2,"Public Works, Transportation & Commerce",CWP,WWE Wastewater Enterprise,21,"Prof & Tech Engineers - Miscellaneous, Local 21",5380,"Stdntdsgntrain1, Arch/Eng/Plng",1169.4,0,0,1169.4
32714,31-03-2017,6,General Administration & Finance,HSS,HSS Health Service System,790,"SEIU - Miscellaneous, Local 1021",1404,Clerk,57524.4,0,0,57524.4
21488,31-03-2013,4,Community Health,DPH,DPH Public Health,21,"Prof & Tech Engineers - Miscellaneous, Local 21",2556,Physical Therapist,104936,0,440,105376
22003,31-03-2016,2,"Public Works, Transportation & Commerce",CWP,WWE Wastewater Enterprise,39,"Stationary Engineers, Local 39",7372,"Stationary Eng, Sewage Plant",96067.1,18933.59,1569.65,116570.34
32351,31-03-2015,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,253,"Transport Workers - Transit Operators, Local 250-A",9163,Transit Operator,60602.26,24644.85,1019.81,86266.92
45339,31-03-2014,4,Community Health,DPH,DPH Public Health,250,"SEIU - Health Workers, Local 1021",2303,Patient Care Assistant,52994,4677.2,3200.5,60871.7
24750,31-03-2014,3,Human Welfare & Neighborhood Development,RNT,RNT Rent Arbitration Board,790,"SEIU - Miscellaneous, Local 1021",1458,Legal Secretary 1,75204.34,0,626.43,75830.77
52023,31-03-2017,4,Community Health,DPH,DPH Public Health,250,"SEIU - Health Workers, Local 1021",2312,Licensed Vocational Nurse,70448.37,32724.72,8210.12,111383.21
25118,31-03-2016,2,"Public Works, Transportation & Commerce",DPW,DPW GSA - Public Works,3,"Operating Engineers - Miscellaneous, Local 3",7108,Heavy Equip Ops Asst Sprv,73694.3,0,0,73694.3
38371,31-03-2016,1,Public Protection,CRT,CRT Superior Court,356,Municipal Executive Association - Court,272C,Fiscal Services Supervisor,103228.01,0,4970,108198.01
43289,31-03-2017,1,Public Protection,POL,POL Police,911,Police Officers' Association,Q004,Police Officer 3,59520.59,0,398.52,59919.11
12337,31-03-2014,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,253,"Transport Workers - Transit Operators, Local 250-A",9163,Transit Operator,65524.98,23116.82,1974.4,90616.2
35909,31-03-2013,1,Public Protection,POL,POL Police,911,Police Officers' Association,Q002,Police Officer,100523.15,982.99,12150.12,113656.26
32111,31-03-2016,1,Public Protection,ECD,DEM Emergency Management,790,"SEIU - Miscellaneous, Local 1021",8238,Public Safetycomm Disp,20982.9,0,164.21,21147.11
8535,31-03-2016,4,Community Health,DPH,DPH Public Health,791,"SEIU - Staff and Per Diem Nurses, Local 1021",P103,Special Nurse,56263.67,0,9124.46,65388.13
50167,31-03-2014,4,Community Health,DPH,DPH Public Health,21,"Prof & Tech Engineers - Miscellaneous, Local 21",2593,Health Program Coordinator 3,97175.42,0,0,97175.42
34855,31-03-2013,6,General Administration & Finance,CAT,CAT City Attorney,311,Municipal Attorneys' Association,8177,Attorney (Civil/Criminal),172587.99,0,4389.77,176977.76
2706,31-03-2014,5,Culture & Recreation,REC,REC Recreation & Park Commsn,790,"SEIU - Miscellaneous, Local 1021",3279,Recreation Leader,7571.57,0,5.56,7577.13
43875,31-03-2016,4,Community Health,DPH,DPH Public Health,164,Physicians and Dentists - Miscellaneous,2230,Physician Specialist,5523.37,0,0,5523.37
34210,31-03-2015,5,Culture & Recreation,REC,REC Recreation & Park Commsn,790,"SEIU - Miscellaneous, Local 1021",1820,Junior Administrative Analyst,58632.89,0,0,58632.89
51683,31-03-2016,3,Human Welfare & Neighborhood Development,DSS,HSA Human Services Agency,21,"Prof & Tech Engineers - Miscellaneous, Local 21",1092,IT Operations Support Admin II,73912.06,0,0,73912.06
18729,31-03-2014,1,Public Protection,DAT,DAT District Attorney,790,"SEIU - Miscellaneous, Local 1021",8133,Victim/Witness Investigator 3,80941.2,0,0,80941.2
