id,host_name,neighbourhood_group,neighbourhood,last_review
15338,Andrea,Brooklyn,Greenpoint,04-06-2019
15341,Ted,Manhattan,SoHo,29-06-2019
15385,Cristina,Brooklyn,Williamsburg,30-06-2019
15396,Petra,Manhattan,Chelsea,03-11-2018
16338,Patricia,Brooklyn,Clinton Hill,30-09-2017
16421,Mark,Manhattan,Hell's Kitchen,16-05-2019
16458,Sara,Brooklyn,Park Slope,24-09-2017
16580,Reka,Manhattan,East Village,01-07-2019
15711,D,Manhattan,kpper^E?smRSRde,30-03-2019
16595,Daniel,Brooklyn,Williamsburg,23-06-2019
16326,Dimitri,Brooklyn,Prospect Heights,26-01-2019
16821,Casey,Manhattan,East Village,21-06-2019
16974,Robin,Manhattan,East Harlem,23-06-2019
17037,Anna,Manhattan,East Village,
17092,Enzo,Manhattan,Hell's Kitchen,01-06-2019
17693,Tye And Etienne,Manhattan,Washington Heights,18-06-2019
17747,George,Brooklyn,Clinton Hill,26-06-2019
18152,Victoria,Manhattan,Upper East Side,06-07-2019
18198,Justin,Queens,Woodside,31-05-2019
18764,Lulú,Brooklyn,Williamsburg,22-04-2019
18728,DAVID And RICK,Manhattan,Chelsea,28-05-2019
19159,Sybilla,Manhattan,Harlem,23-03-2019
19169,JoLynn,Manhattan,Lower East Side,30-06-2019
19282,Gaia,Brooklyn,Flatbush,
18127,Josh,Manhattan,East Village,02-01-2019
18590,Blaise,Brooklyn,Fort Greene,16-06-2019
19319,Ana,Manhattan,Lower East Side,08-04-2019
20300,Pas,Manhattan,East Village,14-02-2016
20611,Lulú,Brooklyn,Williamsburg,22-06-2019
20724,Augustin,Brooklyn,Bushwick,26-05-2019
20734,Sean & Lynette,Brooklyn,Prospect Heights,27-06-2019
20755,Erica,Brooklyn,Clinton Hill,31-05-2019
20853,Tracy,Brooklyn,Prospect Heights,21-05-2019
20913,Christiana,Brooklyn,Williamsburg,22-07-2018
19601,Maggie,Brooklyn,Brooklyn Heights,04-08-2016
21456,Dana,Manhattan,Upper West Side,07-07-2019
19812,Starlee,Brooklyn,Williamsburg,09-08-2018
21644,Elliott,Manhattan,Harlem,09-10-2018
21794,Olan,Manhattan,Chelsea,01-05-2019
22911,Shelly,Brooklyn,Bedford-Stuyvesant,28-10-2018
21293,Tyrome,Brooklyn,Bushwick,18-06-2019
20299,Edward,Manhattan,East Village,30-06-2019
23686,Ann,Manhattan,,18-05-2019
24143,Seth,Brooklyn,Williamsburg,29-05-2019
24285,Brenda,Brooklyn,Park Slope,02-11-2018
25235,Shelly,Brooklyn,Bedford-Stuyvesant,
25406,Erik,Brooklyn,Williamsburg,26-05-2018
25696,Dena,Manhattan,,2-01-39026
23135,Annette,Brooklyn,Carroll Gardens,24-06-2019
22918,Ssameer Or Trip,Manhattan,Harlem,
26012,Jessica,Brooklyn,Gowanus,17-03-2017
23501,Meka,Manhattan,Washington Heights,01-11-2012
26362,Luiz,Manhattan,Hell's Kitchen,16-06-2019
26520,Erica,Brooklyn,Clinton Hill,02-06-2019
26559,Sally,Manhattan,East Village,11-12-2017
26785,Dani,Brooklyn,South Slope,30-12-2018
26933,Bruce,Manhattan,East Village,09-08-2017
26969,Alexandra,Brooklyn,Williamsburg,23-06-2019
26954,Nimo,Manhattan,Kips Bay,02-12-2015
27006,Stacy,Manhattan,Upper West Side,27-04-2019
27385,Bruce,Manhattan,East Village,07-06-2019
27531,Evelyn,Brooklyn,South Slope,20-05-2019
27644,Emma,Manhattan,Harlem,01-07-2019
27659,Vero,Brooklyn,South Slope,30-12-2018
27759,Sylvie,Manhattan,Upper West Side,26-06-2019
27883,Jen,Manhattan,East Village,10-12-2011
28321,Kay,Brooklyn,Prospect-Lefferts Gardens,05-10-2018
28396,Jo,Brooklyn,Williamsburg,18-09-2011
29012,Fernando And Lenin,Manhattan,Washington Heights,17-08-2017
29013,Angela,Brooklyn,Bedford-Stuyvesant,14-05-2019
29628,Chris,Brooklyn,Clinton Hill,03-07-2019
29683,Uli,Manhattan,East Village,25-06-2019
29455,Laurine,Manhattan,Harlem,20-06-2019
30031,Sol,Brooklyn,ptnetpieer,20-05-2019
30927,Cs,Manhattan,Lower East Side,14-06-2019
31130,Lara,Manhattan,Hell's Kitchen,26-05-2019
31555,Tom,Manhattan,West Village,01-07-2019
31902,Sunder,Brooklyn,Flatlands,01-01-2019
31994,Waldemar,Brooklyn,Clinton Hill,24-06-2019
32023,Khem,Brooklyn,Bedford-Stuyvesant,23-06-2019
32037,Sahr,Brooklyn,Clinton Hill,01-07-2019
28907,Lisa,Manhattan,Upper East Side,1721-5008-
32100,Ali+Scott,Brooklyn,Greenpoint,30-07-2017
32289,Elisabeth,Brooklyn,Williamsburg,11-06-2018
32331,Sarah,Brooklyn,Cobble Hill,24-04-2016
32363,Fredah,Queens,Flushing,19-09-2011
32965,Khem,Brooklyn,Bedford-Stuyvesant,20-06-2019
32969,Katherine,Brooklyn,Williamsburg,02-07-2019
33009,Ming,Brooklyn,Williamsburg,17-06-2019
33014,Paula,Manhattan,East Village,17-06-2019
34760,Obed,Brooklyn,Fort Greene,29-06-2019
35526,Karen,Manhattan,West Village,22-06-2019
36121,Michael,Brooklyn,Prospect Heights,10-05-2013
36133,White,Brooklyn,Williamsburg,
36442,Paz,Brooklyn,Prospect Heights,27-08-2018
36647,Irene,Manhattan,East Harlem,29-05-2017
36703,Karene,Manhattan,West Village,31-03-2019
36934,Viviana,Brooklyn,Williamsburg,27-12-2018
38638,Sara,Manhattan,Upper East Side,26-06-2019
39282,Gus,Brooklyn,Williamsburg,28-05-2019
39593,Myung,Queens,Sunnyside,12-04-2019
33223,Lulú,Brooklyn,Williamsburg,22-06-2019
40039,Henry,Brooklyn,nUMBO,25-04-2011
40453,Sylvia,Manhattan,Upper East Side,23-09-2016
38663,Sarah,Brooklyn,Boerum Hill,31-12-2018
41348,Syl,Brooklyn,Gowanus,06-07-2019
41513,Lorenzo,Manhattan,Harlem,02-11-2015
42580,Waldemar,Brooklyn,Clinton Hill,24-06-2019
42729,Annette,Brooklyn,]Carroll Gardens,18-06-2019
39704,Renée,Brooklyn,Bedford-Stuyvesant,22-06-2019
42882,Newyorkroomwithaview,Staten Island,St. George,13-06-2019
39267,Marie,Manhattan,Upper East Side,08-06-2019
43957,Tessa,Brooklyn,Bushwick,19-06-2019
44096,Waundell,Bronx,Highbridge,04-07-2019
44161,Young,Brooklyn,Williamsburg,06-07-2016
44221,Coral,Manhattan,Financial District,20-06-2019
44506,Laurine,Manhattan,Harlem,26-05-2019
45393,Myrna,Manhattan,West Village,20-04-2016
45542,Campbell,Manhattan,Harlem,17-12-2018
45556,Doug,Brooklyn,Fort Greene,30-06-2019
45910,Mark,Queens,Ridgewood,12-05-2019
45936,Rahul,Manhattan,Morningside Heights,14-05-2019
45940,Miyoung,Brooklyn,Williamsburg,08-04-2019
46544,Monica,Brooklyn,Park Slope,05-06-2019
46723,Marylyn,Brooklyn,Bedford-Stuyvesant,19-05-2019
46911,Kathleen R.,Brooklyn,Prospect Heights,24-06-2019
47199,Teresa,Manhattan,Upper East Side,24-06-2019
47362,Robert,,Bedford-Stuyvesant,03-09-2012
44212,Bruce,Manhattan,East Village,23-06-2019
47370,Alex,Manhattan,Chelsea,17-07-2015
47926,Claudia,Manhattan,Hell's Kitchen,26-06-2019
48719,Shane,Manhattan,Lower East Side,15-06-2019
50447,Laurie,Brooklyn,South Slope,22-06-2019
44288,Sara,Manhattan,West Village,01-06-2019
44229,Carol,Brooklyn,Fort Greene,24-06-2019
51438,Jessica,Manhattan,Upper East Side,22-06-2019
51485,Erina,Manhattan,Lower East Side,22-06-2019
51572,Lee,Manhattan,Chelsea,18-06-2019
51850,Jullett,,Jamaica,20-05-2019
53137,Marlaine,Manhattan,Hell's Kitchen,01-07-2019
53477,Mark,Queens,Middle Village,27-04-2019
54158,Bob,Brooklyn,Williamsburg,20-06-2019
54453,Anka,Manhattan,Hell's Kitchen,07-01-2014
54466,Douglas,Manhattan,rHmlae,22-06-2019
54508,Kathleen R.,Brooklyn,Prospect Heights,06-06-2019
54544,Wayne,Manhattan,Harlem,22-06-2019
54626,Waundell,Bronx,Highbridge,30-06-2019
54860,Jenny,Manhattan,East Harlem,23-06-2019
55467,Paul,Brooklyn,Williamsburg,02-07-2019
55498,Tami,Brooklyn,Bedford-Stuyvesant,01-07-2019
55668,Jason,Manhattan,NoHo,05-12-2018
55737,Pete,Manhattan,West Village,19-05-2019
55959,Gus,Brooklyn,Williamsburg,10-06-2019
55982,Sally,Brooklyn,Fort Greene,31-12-2018
56467,Leonardo,Manhattan,East Village,01-07-2019
56525,Alex,Brooklyn,Greenpoint,13-06-2019
56859,Wayne,Manhattan,Harlem,03-06-2019
57166,Vasili,Queens,Ditmars Steinway,17-06-2019
53196,Charlotte,Brooklyn,Bedford-Stuyvesant,13-11-2017
53469,Mark,Queens,Middle Village,09-05-2015
53470,Mark,Queens,Ridgewood,08-10-2015
57297,S.M.,Brooklyn,Cobble Hill,24-06-2019
57468,Ori,Manhattan,East Village,23-06-2019
57618,Ana,Manhattan,Hell's Kitchen,09-06-2019
57740,I,Manhattan,East Village,24-05-2019
57754,R,,Flatiron District,30-06-2019
58467,Dave,Manhattan,Roosevelt Island,08-05-2019
59014,Drica,Manhattan,Lower East Side,02-01-2019
59121,Mark,Queens,Ridgewood,17-09-2012
59642,Betty,Brooklyn,Greenpoint,19-05-2019
58059,Agnes,Manhattan,Harlem,03-07-2019
59709,Ricardo & Ashlie,Manhattan,Chinatown,01-07-2019
59855,Leslie,Manhattan,Midtown,05-01-2016
57874,Simon,Manhattan,Harlem,26-06-2019
58062,Linda,Brooklyn,Windsor Terrace,17-05-2019
60164,Harrison,Manhattan,SoHo,23-06-2019
60457,Jessica,Manhattan,Greenwich Village,11-05-2019
60611,Blanca,Manhattan,East Harlem,29-09-2018
60666,Wayne,Manhattan,Harlem,11-06-2019
60948,Laurine,Manhattan,East Harlem,20-06-2019
61167,Greta,Manhattan,Little Italy,12-12-2015
61224,Frank,Manhattan,Chelsea,27-07-2017
61406,Bethania,Manhattan,Harlem,01-06-2019
61492,Tunji,Manhattan,Chinatown,23-06-2019
61509,Anna/Fonzy,Manhattan,Midtown,30-04-2019
62095,Colette&Sean,Brooklyn,East Flatbush,14-06-2019
62427,Brie,Manhattan,East Village,26-05-2019
62430,Sheila,Brooklyn,Bushwick,22-06-2019
60673,Cynthia,Manhattan,Harlem,07-10-2018
60680,Mich,Manhattan,East Village,20-06-2019
60794,Rachel,Manhattan,Upper West Side,25-08-2017
62452,Lissette,Staten Island,Tompkinsville,25-06-2019
62461,Lissette,Staten Island,Tompkinsville,10-06-2019
62787,Lissette,Staten Island,Tompkinsville,
62891,Olivia,Manhattan,East Village,24-05-2019
62903,Daniel,Manhattan,Chelsea,21-06-2019
62925,Maya,Brooklyn,Greenpoint,16-06-2019
63299,Scott,Brooklyn,Williamsburg,23-06-2019
63320,Lissette,,Tompkinsville,02-07-2019
63360,Dennis & Naoko,Queens,Astoria,24-06-2019
63546,Antonín,Brooklyn,Kensington,16-05-2019
63573,Emily,Brooklyn,Park Slope,29-08-2016
63657,Renée,Brooklyn,Bedford-Stuyvesant,25-06-2019
63610,Vie,Bronx,Eastchester,27-06-2019
64000,Kristian & Di,Brooklyn,Williamsburg,07-01-2019
64107,Niya,Brooklyn,Crown Heights,24-06-2019
64277,Helene,Brooklyn,Bedford-Stuyvesant,02-01-2019
63693,Olivia,Manhattan,East Village,19-06-2019
63719,Helene,Brooklyn,Bedford-Stuyvesant,19-08-2018
64314,Debbie,Brooklyn,Crown Heights,26-05-2019
64365,Anthony,Brooklyn,Crown Heights,27-06-2019
64707,Tilly,Manhattan,Little Italy,02-01-2019
64837,Edward,Manhattan,East Village,23-06-2019
65019,Claire,Manhattan,Upper West Side,06-07-2019
65268,Juhli,Brooklyn,Bedford-Stuyvesant,05-01-2019
65562,Mary D,Manhattan,,03-01-2019
65615,Valerie,Brooklyn,Williamsburg,29-06-2019
65660,Larissa,Brooklyn,Williamsburg,07-07-2019
65813,Eric,Manhattan,Harlem,02-01-2019
65834,Jessica,Brooklyn,Park Slope,02-05-2013
66008,Melissa,Brooklyn,Carroll Gardens,01-07-2019
66026,Alex,Brooklyn,Crown Heights,30-06-2019
66251,Samir,Manhattan,East Village,25-06-2019
66275,Tony,Manhattan,Lower East Side,23-06-2019
66451,Luis Fernando,Brooklyn,Williamsburg,16-02-2019
66741,Stefano,Brooklyn,Park Slope,23-06-2019
66718,Henning,Manhattan,Harlem,23-06-2019
66974,Jana,Brooklyn,Gowanus,01-07-2019
67288,Per,Manhattan,East Harlem,15-06-2019
67397,Elise,Manhattan,Morningside Heights,
67299,Adrienne,Brooklyn,Williamsburg,06-05-2019
68099,Deda,Manhattan,Upper West Side,25-06-2019
68305,Share,Manhattan,Harlem,06-07-2018
68403,Naimah,Brooklyn,,24-06-2019
68735,Violetta,Manhattan,Upper West Side,13-06-2019
68765,Jenna,Brooklyn,Carroll Gardens,27-06-2019
68900,Jason,Brooklyn,Greenpoint,13-11-2016
68974,Alicia,Manhattan,Little Italy,20-06-2019
69894,Silvia,Manhattan,Upper West Side,11-06-2019
69921,Joab,Brooklyn,Bushwick,29-06-2019
70095,Mary And Geoff,Manhattan,Inwood,30-06-2019
70128,Eyal,Manhattan,East Village,10-01-2019
70609,Bruce,Manhattan,East Village,16-06-2019
71010,Kurt,Manhattan,Wuashington Heights,24-05-2019
71248,Jennifer,Manhattan,Chinatown,17-06-2019
71366,Ruperto,Manhattan,West Village,25-06-2019
71384,Ben,Brooklyn,Greenpoint,13-05-2014
71812,Thai,Bronx,Kingsbridge,02-01-2019
72190,Hudson,Manhattan,Upper West Side,15-02-2019
72265,Vanessa,Brooklyn,Greenpoint,16-06-2019
74073,Daniel,Brooklyn,Williamsburg,23206-20Ey
74240,Patty,Brooklyn,Williamsburg,07-06-2019
74333,Amir,Manhattan,East Harlem,25-11-2015
74404,G & S,Manhattan,Harlem,22-08-2012
74680,Nazleen,Queens,Astoria,31-05-2019
74860,Allison,Brooklyn,Greenpoint,28-03-2011
75193,Scott,Brooklyn,Williamsburg,22-06-2019
75635,Patricia,Manhattan,Lower East Side,27-06-2019
77765,The Box House Hotel,Brooklyn,Greenpoint,01-07-2019
76761,Evelyn,Brooklyn,South Slope,28-06-2019
77936,Moss Owen,Manhattan,Hell's Kitchen,14-06-2019
78919,Nancy,Brooklyn,Boerum Hill,05-02-2016
79067,Bliss,Brooklyn,Clinton Hill,20-04-2019
79782,Pam,Brooklyn,Williamsburg,31-03-2019
80493,Jennifer,Manhattan,East Village,04-07-2019
80684,The Box House Hotel,Brooklyn,Greenpoint,27-03-2016
80700,The Box House Hotel,Brooklyn,Greenpoint,24-05-2019
80924,Ellis,Brooklyn,Park Slope,25-09-2018
81739,The Box House Hotel,Brooklyn,Greenpoint,12-05-2011
82549,Christopher,Brooklyn,Brooklyn Heights,16-09-2016
82550,Christopher,Brooklyn,Brooklyn Heights,30-06-2019
82638,Sarah,Manhattan,East Village,06-06-2019
82928,Ruthven,Brooklyn,Bedford-Stuyvesant,02-07-2019
83446,Leslie,Brooklyn,Fort Greene,03-09-2018
83243,Julian,Brooklyn,Bushwick,10-06-2019
83722,Sophie,Brooklyn,Williamsburg,26-08-2018
83847,Yvette,Manhattan,East Village,02-01-2019
84010,The Box House Hotel,,Greenpoint,27-06-2019
84059,Famous,Brooklyn,Crown Heights,22-07-2018
84659,Kyle,Manhattan,East Village,26-06-2019
84905,Ange,Manhattan,Two Bridges,23-06-2019
85094,Alex,Brooklyn,Crown Heights,14-01-2019
86215,T,Manhattan,Lower East Side,24-06-2019
89621,Marylyn,Brooklyn,Bedford-Stuyvesant,28-06-2019
93313,Nathalie,Brooklyn,Bedford-Stuyvesant,23-06-2019
94035,Savannah,Queens,Astoria,06-07-2019
94477,Jason,Brooklyn,Bedford-Stuyvesant,05-07-2019
94783,Keishera,Brooklyn,Crown Heights,21-06-2019
95747,Tessa,Brooklyn,Williamsburg,18-07-2016
95883,Eduardo,Brooklyn,Bedford-Stuyvesant,26-12-2018
96471,Sahr,Brooklyn,Clinton Hill,07-06-2019
98330,Shon,Manhattan,Kips Bay,03-01-2012
98663,Peter Michael,Manhattan,Chelsea,11-06-2018
99070,Liz And Melissa,Manhattan,East Harlem,26-05-2019
99085,Wanda,Brooklyn,Fort Greene,01-05-2019
100002,Giorgio,Manhattan,Washington Heights,17-06-2019
100184,,Queens,Queens Village,08-07-2019
100186,Mi,Brooklyn,Gowanus,28-06-2019
101053,Lee And Tara,Brooklyn,Williamsburg,01-03-2019
102995,Chas,Manhattan,Upper West Side,01-01-2018
103161,Ade,Brooklyn,Williamsburg,26-06-2019
103311,The Box House Hotel,,Greenpoint,19-05-2018
103806,Jason,Manhattan,East Village,27-05-2019
105469,Michelle,Queens,Rockaway Beach,21-09-2015
105510,Alex,Brooklyn,Crown Heights,05-01-2019
106363,Alicia,Manhattan,Harlem,26-06-2019
106647,Olivia,Brooklyn,Bedford-Stuyvesant,16-06-2019
107630,Maya,Brooklyn,Greenpoint,20-06-2019
110739,Driss,Manhattan,Midtown,03-07-2019
107895,Kai,Manhattan,Upper West Side,19-06-2019
112100,Marine,Brooklyn,Crown Heights,01-01-2013
112304,Kelli,Manhattan,Harlem,02-01-2016
112359,Olivia,Manhattan,Upper East Side,28-12-2018
112435,Carol,Brooklyn,Fort Greene,24-05-2019
113265,Anthony,Brooklyn,Crown Heights,21-06-2019
114123,Susi,Brooklyn,South Slope,19-05-2019
113945,Natalia,Manhattan,Hell's Kitchen,11-05-2019
114229,Tony,Manhattan,Lower East Side,08-06-2019
114969,Andrey,Manhattan,Midtown,24-09-2018
115678,Will,Manhattan,Harlem,23-06-2019
115535,Jane,,Harlem,01-06-2019
115748,Lilly,Queens,Astoria,16-06-2019
118061,Roberta,Brooklyn,Bedford-Stuyvesant,28-06-2019
116940,Marylyn,Brooklyn,Crown Heights,24-06-2019
117425,LuLu,Brooklyn,Brooklyn Heights,26-05-2018
118430,Paul,Manhattan,Chelsea,03-01-2019
120362,Itamar,Brooklyn,Williamsburg,02-07-2019
121687,Vikram,Brooklyn,Williamsburg,23-06-2019
121861,Elizabeth,Brooklyn,Park Slope,02-05-2016
123784,Christopher,Manhattan,Harlem,16-06-2019
125053,Justin,Manhattan,East Village,01-07-2019
125163,Rodney,Brooklyn,Bedford-Stuyvesant,03-06-2019
125594,Antonín,Brooklyn,Kensington,19-05-2019
126443,Seith,,East Village,
126816,Eric,,Upper West Side,06-11-2014
127387,Katharine,Brooklyn,,04-08-2014
128975,Wayne,Manhattan,Harlem,13-06-2019
131154,Lauren,Brooklyn,Greenpoint,07-07-2019
132516,Jean,Queens,Forest Hills,01-07-2019
132695,Holly,Brooklyn,Williamsburg,06-06-2016
132570,Catherine,Manhattan,West Village,26-12-2017
133025,Tracy,Manhattan,Murray Hill,06-06-2019
134934,Giovanni,Brooklyn,Williamsburg,30-05-2019
135393,Karen,Brooklyn,East Flatbush,24-06-2019
135465,Christopher,Brooklyn,Fort Greene,20-06-2019
136493,Irena,Brooklyn,Park Slope,27-05-2019
140133,Daniel,Brooklyn,Williamsburg,05-07-2019
140425,Ivy,Brooklyn,Crown Heights,25-05-2017
140973,Dave,Manhattan,East Village,26-05-2019
141154,Mark,Brooklyn,Boerum Hill,22-06-2019
141335,Orna,Brooklyn,Park Slope,13-01-2018
141890,Allison,Manhattan,Nolita,01-10-2013
141984,Vanessa,Manhattan,Nolita,10-06-2019
142069,Josh,Manhattan,East Village,10-11-2014
144087,Rinaldo,Manhattan,Harlem,18-05-2019
138216,Michael,Brooklyn,Greenpoint,08-07-2018
145064,Oliver,Brooklyn,Williamsburg,06-06-2014
145994,Carolyn,Manhattan,Upper West Side,06-07-2018
146754,Meighan,Brooklyn,Windsor Terrace,27-04-2019
147586,Julie,Manhattan,Harlem,16-06-2019
139624,Jessica,Brooklyn,Crown Heights,31-01-2019
135706,Jeff,Manhattan,Chelsea,01-01-2017
148201,John,Manhattan,Greenwich Village,31-05-2013
144148,Jonathan,Manhattan,East Village,05-01-2016
148825,B.,Manhattan,Upper West Side,29-06-2019
150804,Peter,Manhattan,Lower East Side,06-07-2019
149777,"Dee, Dre & Mama Shelley",Bronx,Woodlawn,
151199,Gladys & Bob,Queens,Astoria,03-07-2019
151478,M,Brooklyn,Williamsburg,11-12-2018
152078,Ewelina,Manhattan,East Village,12-02-2019
148259,Mihalis,Brooklyn,Williamsburg,11-05-2019
152263,William,Manhattan,Harlem,06-07-2019
152259,Wayne,Manhattan,Harlem,28-05-2019
153405,Pat,Brooklyn,Greenpoint,16-06-2019
153780,Donna,Manhattan,East Village,28-06-2019
154934,Kimberly,Manhattan,Harlem,08-05-2018
155296,Meredith,Brooklyn,Williamsburg,02-05-2019
157673,Tokunbo,Brooklyn,Bedford-Stuyvesant,16-06-2019
158061,Fred,Brooklyn,Bedford-Stuyvesant,08-10-2017
158176,Laura,Brooklyn,Williamsburg,29-06-2019
158290,Pepe,Brooklyn,Clinton Hill,20-05-2019
158913,Lennny & Megan,Brooklyn,Greenpoint,13-03-2015
158955,Amia,Brooklyn,,29-06-2019
159749,JT And Tiziana,Brooklyn,Bedford-Stuyvesant,01-07-2019
160609,Ligia,Manhattan,Upper West Side,01-01-2019
159815,JT And Tiziana,Brooklyn,Bedford-Stuyvesant,24-06-2019
152520,Lucy,Queens,Sunnyside,16-11-2018
161366,Lucy,Queens,Sunnyside,01-06-2019
161394,Alain,Brooklyn,Williamsburg,31-08-2014
159913,Kaye,Manhattan,Chelsea,03-07-2019
160994,James,Manhattan,East Village,24-06-2019
161996,"Robert ""Bob""",Manhattan,Harlem,26-06-2019
162508,Placid,Brooklyn,Crown Heights,28-06-2019
163627,Jsun,Brooklyn,Williamsburg,31-12-2017
162493,Andres,Brooklyn,Williamsburg,27-12-2018
163809,Jorin,Manhattan,Harlem,03-06-2019
163814,Seith,Manhattan,East Village,05-07-2019
163836,Andrea,Brooklyn,Greenpoint,08-06-2019
164989,Jade,Manhattan,SoHo,16-06-2019
165080,Smadar,Brooklyn,,29-08-2018
165461,Rahul,Manhattan,Morningside Heights,01-01-2019
165824,Lucy,Queens,Sunnyside,01-05-2019
166006,Giancarlo,,Upper West Side,23-08-2018
166172,Wanda,Brooklyn,Bushwick,07-07-2019
166541,Yvette,Manhattan,Washington Heights,15-06-2019
166983,Jilly,Brooklyn,Carroll Gardens,08-08-2015
167013,Daniel,Manhattan,,13-05-2018
167017,Adam,,Park Slope,
167222,Lisel,Brooklyn,Park Slope,24-08-2018
167482,Barbara,Manhattan,Upper West Side,07-06-2019
168084,Chris,Manhattan,East Village,30-06-2019
168123,Sara,Brooklyn,South Slope,01-07-2019
168546,Benton,Manhattan,East Harlem,02-01-2016
168810,Linda & Chris,Manhattan,,M5%10-201W
169002,Alec,Manhattan,Harlem,16-06-2019
169152,Julia,Brooklyn,Bedford-Stuyvesant,18-04-2017
169306,Vanessa,Bronx,University Heights,21-05-2019
169464,Ali & SweetPea,Brooklyn,Williamsburg,16-05-2019
170420,Lena,Manhattan,East Harlem,15-02-2016
170761,Doug,Brooklyn,Fort Greene,02-07-2019
171776,Benton,Manhattan,Harlem,01-10-2015
172700,Cheryl,Manhattan,Lower East Side,15-02-2016
172870,Jorin,Manhattan,Harlem,03-01-2018
173072,Lewis,Manhattan,Harlem,06-07-2019
173151,Jane,Brooklyn,Greenpoint,24-06-2019
173742,Donna,Manhattan,Gramercy,23-06-2019
174527,Kris,Brooklyn,Bushwick,28-10-2018
174966,Henry,Manhattan,Upper West Side,05-05-2018
176135,Jennifer,Brooklyn,Crown Heights,23-10-2018
176653,Cj,Manhattan,East Village,07-05-2019
176962,Dani,Brooklyn,Williamsburg,13-04-2019
177421,Sarah,Brooklyn,Greenpoint,24-06-2019
177495,Amit,Manhattan,Chelsea,24-06-2019
177606,Kathrine,Manhattan,Kips Bay,23-06-2019
179670,Milan,Manhattan,Lower East Side,27-06-2019
179741,Tony,Manhattan,Nolita,28-06-2019
180507,Jason,Queens,Astoria,01-12-2018
180792,Jason,Queens,Astoria,04-04-2019
181972,Rosario,Manhattan,Harlem,02-06-2019
182069,Mat,Manhattan,East Harlem,20-06-2019
182095,Mike,Manhattan,West Village,29-04-2019
