Region,Country,Item Type,Sales Channel,Order Priority,Order ID,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Asia,North Korea,Fruits,Offline,M,572485387,3,9.33,6.92,27.99,20.76,7.23
Europe,Poland,Fruits,Online,L,327758920,3,9.33,6.92,27.99,20.76,7.23
Europe,Belarus,Fruits,Online,C,696031367,4,9.33,6.92,37.32,27.68,9.64
Asia,Nepal,Fruits,Online,M,818394601,4,9.33,6.92,37.32,27.68,9.64
Europe,Netherlands,Fruits,Online,H,609116637,4,9.33,6.92,37.32,27.68,9.64
Europe,Spain,Fruits,Offline,L,573668134,4,9.33,6.92,37.32,27.68,9.64
Sub-Saharan Africa,Benin,Fruits,Offline,C,444478785,5,9.33,6.92,46.65,34.6,12.05
Middle East and North Africa,United Arab Emirates,Fruits,Offline,L,689205253,5,9.33,6.92,46.65,34.6,12.05
Europe,Croatia,Fruits,Online,C,653756749,5,9.33,6.92,46.65,34.6,12.05
Sub-Saharan Africa,Comoros,Fruits,Online,C,690388000,6,9.33,6.92,55.98,41.52,14.46
Europe,Armenia,Fruits,Offline,M,646930634,6,9.33,6.92,55.98,41.52,14.46
Sub-Saharan Africa,South Sudan,Fruits,Offline,H,891657102,6,9.33,6.92,55.98,41.52,14.46
Europe,Slovakia,Fruits,Offline,H,524567401,6,9.33,6.92,55.98,41.52,14.46
Sub-Saharan Africa,Zimbabwe,Fruits,Online,M,568024766,6,9.33,6.92,55.98,41.52,14.46
Sub-Saharan Africa,Cote d'Ivoire,Fruits,Offline,C,978571832,6,9.33,6.92,55.98,41.52,14.46
Australia and Oceania,Fiji,Fruits,Online,L,856208598,6,9.33,6.92,55.98,41.52,14.46
Asia,Maldives,Fruits,Online,C,769293868,6,9.33,6.92,55.98,41.52,14.46
Asia,Uzbekistan,Fruits,Offline,H,403386914,7,9.33,6.92,65.31,48.44,16.87
Asia,Mongolia,Fruits,Online,L,438835418,7,9.33,6.92,65.31,48.44,16.87
Europe,Czech Republic,Fruits,Online,L,892839848,7,9.33,6.92,65.31,48.44,16.87
Australia and Oceania,Kiribati,Fruits,Online,M,525750148,7,9.33,6.92,65.31,48.44,16.87
Asia,Tajikistan,Fruits,Offline,C,115203082,7,9.33,6.92,65.31,48.44,16.87
Europe,Austria,Fruits,Offline,M,316472184,7,9.33,6.92,65.31,48.44,16.87
Sub-Saharan Africa,Zimbabwe,Fruits,Online,M,237566316,7,9.33,6.92,65.31,48.44,16.87
Europe,Vatican City,Fruits,Online,H,770476615,7,9.33,6.92,65.31,48.44,16.87
Sub-Saharan Africa,Djibouti,Fruits,Offline,C,648113381,7,9.33,6.92,65.31,48.44,16.87
Middle East and North Africa,Azerbaijan,Fruits,Online,C,361112296,8,9.33,6.92,74.64,55.36,19.28
North America,United States of America,Fruits,Online,H,728201997,8,9.33,6.92,74.64,55.36,19.28
Australia and Oceania,Australia,Fruits,Online,C,476649415,9,9.33,6.92,83.97,62.28,21.69
Australia and Oceania,Marshall Islands,Fruits,Online,H,764833247,9,9.33,6.92,83.97,62.28,21.69
Asia,Turkmenistan,Fruits,Offline,M,923827731,10,9.33,6.92,93.3,69.2,24.1
Sub-Saharan Africa,Democratic Republic of the Congo,Fruits,Offline,H,268554198,10,9.33,6.92,93.3,69.2,24.1
Europe,Kosovo,Fruits,Online,M,766015994,10,9.33,6.92,93.3,69.2,24.1
Australia and Oceania,East Timor,Fruits,Online,L,146190965,10,9.33,6.92,93.3,69.2,24.1
Asia,Bangladesh,Fruits,Online,C,968467843,11,9.33,6.92,102.63,76.12,26.51
North America,Mexico,Fruits,Online,M,348642814,11,9.33,6.92,102.63,76.12,26.51
Australia and Oceania,Federated States of Micronesia,Fruits,Offline,L,103916347,11,9.33,6.92,102.63,76.12,26.51
Sub-Saharan Africa,Eritrea,Fruits,Offline,H,226279580,11,9.33,6.92,102.63,76.12,26.51
Sub-Saharan Africa,Malawi,Fruits,Offline,H,760372626,12,9.33,6.92,111.96,83.04,28.92
Australia and Oceania,Nauru,Fruits,Offline,M,673457896,12,9.33,6.92,111.96,83.04,28.92
Europe,Luxembourg,Fruits,Online,H,393282926,12,9.33,6.92,111.96,83.04,28.92
Middle East and North Africa,Morocco,Fruits,Offline,M,515646159,12,9.33,6.92,111.96,83.04,28.92
Central America and the Caribbean,Grenada,Fruits,Offline,L,882735860,12,9.33,6.92,111.96,83.04,28.92
Central America and the Caribbean,Jamaica,Fruits,Online,M,840461242,13,9.33,6.92,121.29,89.96,31.33
Europe,Ireland,Fruits,Online,L,386456811,13,9.33,6.92,121.29,89.96,31.33
Asia,India,Fruits,Online,L,595734775,13,9.33,6.92,121.29,89.96,31.33
Central America and the Caribbean,Dominica,Fruits,Offline,H,264093577,13,9.33,6.92,121.29,89.96,31.33
Central America and the Caribbean,Grenada,Fruits,Offline,M,552277410,13,9.33,6.92,121.29,89.96,31.33
Australia and Oceania,Samoa ,Fruits,Offline,M,631183278,13,9.33,6.92,121.29,89.96,31.33
Sub-Saharan Africa,Mali,Fruits,Offline,C,429914176,13,9.33,6.92,121.29,89.96,31.33
Middle East and North Africa,Iraq,Fruits,Offline,C,178361594,14,9.33,6.92,130.62,96.88,33.74
Central America and the Caribbean,Guatemala,Fruits,Offline,H,221818959,14,9.33,6.92,130.62,96.88,33.74
Middle East and North Africa,Saudi Arabia,Fruits,Online,H,142913091,14,9.33,6.92,130.62,96.88,33.74
Central America and the Caribbean,Nicaragua,Fruits,Online,H,179544341,15,9.33,6.92,139.95,103.8,36.15
Asia,Indonesia,Fruits,Offline,M,834817874,15,9.33,6.92,139.95,103.8,36.15
Sub-Saharan Africa,Mauritania,Fruits,Offline,L,668997275,15,9.33,6.92,139.95,103.8,36.15
Europe,Malta,Fruits,Offline,M,301907575,15,9.33,6.92,139.95,103.8,36.15
Middle East and North Africa,Pakistan,Fruits,Offline,L,993812358,16,9.33,6.92,149.28,110.72,38.56
Middle East and North Africa,United Arab Emirates,Fruits,Online,C,670180022,16,9.33,6.92,149.28,110.72,38.56
Asia,Maldives,Fruits,Offline,M,180727088,16,9.33,6.92,149.28,110.72,38.56
Europe,Netherlands,Fruits,Offline,M,259632956,16,9.33,6.92,149.28,110.72,38.56
Sub-Saharan Africa,South Africa,Fruits,Online,C,303090322,16,9.33,6.92,149.28,110.72,38.56
Middle East and North Africa,Qatar,Fruits,Online,M,663353908,17,9.33,6.92,158.61,117.64,40.97
Asia,Kyrgyzstan,Fruits,Offline,H,462084805,17,9.33,6.92,158.61,117.64,40.97
Europe,Romania,Fruits,Online,M,217358338,17,9.33,6.92,158.61,117.64,40.97
Asia,China,Fruits,Online,C,785717141,17,9.33,6.92,158.61,117.64,40.97
Middle East and North Africa,United Arab Emirates,Fruits,Online,L,339721572,17,9.33,6.92,158.61,117.64,40.97
Sub-Saharan Africa,South Sudan,Fruits,Online,L,872631871,17,9.33,6.92,158.61,117.64,40.97
Europe,Slovakia,Fruits,Online,M,505542171,17,9.33,6.92,158.61,117.64,40.97
Middle East and North Africa,Tunisia ,Fruits,Online,M,621079289,18,9.33,6.92,167.94,124.56,43.38
Europe,Russia,Fruits,Online,H,786899888,18,9.33,6.92,167.94,124.56,43.38
Sub-Saharan Africa,Cape Verde,Fruits,Offline,C,952720487,18,9.33,6.92,167.94,124.56,43.38
Sub-Saharan Africa,South Sudan,Fruits,Online,M,542173421,18,9.33,6.92,167.94,124.56,43.38
Middle East and North Africa,Yemen,Fruits,Online,L,909263122,18,9.33,6.92,167.94,124.56,43.38
Sub-Saharan Africa,Republic of the Congo,Fruits,Online,C,910445868,19,9.33,6.92,177.27,131.48,45.79
Europe,Albania,Fruits,Offline,M,578804671,19,9.33,6.92,177.27,131.48,45.79
Europe,San Marino,Fruits,Online,L,125982987,20,9.33,6.92,186.6,138.4,48.2
Europe,Slovenia,Fruits,Online,C,414166820,20,9.33,6.92,186.6,138.4,48.2
Sub-Saharan Africa,Central African Republic,Fruits,Online,M,291803586,20,9.33,6.92,186.6,138.4,48.2
Sub-Saharan Africa,Republic of the Congo,Fruits,Online,L,579987418,20,9.33,6.92,186.6,138.4,48.2
Asia,Singapore,Fruits,Online,L,947077119,20,9.33,6.92,186.6,138.4,48.2
North America,Canada,Fruits,Offline,H,990534484,21,9.33,6.92,195.93,145.32,50.61
Sub-Saharan Africa,Chad,Fruits,Online,M,861345136,21,9.33,6.92,195.93,145.32,50.61
Sub-Saharan Africa,Democratic Republic of the Congo,Fruits,Online,M,249528968,22,9.33,6.92,205.26,152.24,53.02
Sub-Saharan Africa,Cote d'Ivoire,Fruits,Online,H,819070518,23,9.33,6.92,214.59,159.16,55.43
Europe,Belgium,Fruits,Offline,C,775613152,23,9.33,6.92,214.59,159.16,55.43
Europe,Estonia,Fruits,Online,C,121522367,24,9.33,6.92,223.92,166.08,57.84
Sub-Saharan Africa,Ethiopia,Fruits,Offline,H,776795899,24,9.33,6.92,223.92,166.08,57.84
Sub-Saharan Africa,Guinea,Fruits,Offline,H,734521281,25,9.33,6.92,233.25,173,60.25
Middle East and North Africa,Azerbaijan,Fruits,Online,H,771152532,26,9.33,6.92,242.58,179.92,62.66
Sub-Saharan Africa,Liberia,Fruits,Online,H,692246663,26,9.33,6.92,242.58,179.92,62.66
Middle East and North Africa,Kuwait,Fruits,Online,M,447520196,26,9.33,6.92,242.58,179.92,62.66
Central America and the Caribbean,Belize,Fruits,Online,M,526426064,26,9.33,6.92,242.58,179.92,62.66
Europe,Greece,Fruits,Offline,L,648789298,26,9.33,6.92,242.58,179.92,62.66
Middle East and North Africa,Bahrain,Fruits,Online,C,440694081,27,9.33,6.92,251.91,186.84,65.07
Middle East and North Africa,Lebanon,Fruits,Online,H,117061746,27,9.33,6.92,251.91,186.84,65.07
Middle East and North Africa,Pakistan,Fruits,Offline,C,974787127,28,9.33,6.92,261.24,193.76,67.48
Middle East and North Africa,Bahrain,Fruits,Online,L,110235631,28,9.33,6.92,261.24,193.76,67.48
Europe,Kosovo,Fruits,Offline,M,276056230,28,9.33,6.92,261.24,193.76,67.48
Asia,Bangladesh,Fruits,Offline,H,808966529,28,9.33,6.92,261.24,193.76,67.48
Europe,Lithuania,Fruits,Online,M,564240062,28,9.33,6.92,261.24,193.76,67.48
Asia,Japan,Fruits,Online,M,154875743,29,9.33,6.92,270.57,200.68,69.89
Middle East and North Africa,Syria,Fruits,Offline,C,932512509,29,9.33,6.92,270.57,200.68,69.89
Australia and Oceania,Tonga,Fruits,Offline,C,190324246,29,9.33,6.92,270.57,200.68,69.89
Asia,China,Fruits,Online,H,766691911,29,9.33,6.92,270.57,200.68,69.89
Sub-Saharan Africa,Niger,Fruits,Offline,L,277238976,29,9.33,6.92,270.57,200.68,69.89
Central America and the Caribbean,El Salvador,Fruits,Offline,C,723234546,29,9.33,6.92,270.57,200.68,69.89
Middle East and North Africa,Qatar,Fruits,Offline,L,313870227,30,9.33,6.92,279.9,207.6,72.3
Central America and the Caribbean,Trinidad and Tobago,Fruits,Online,C,357327592,30,9.33,6.92,279.9,207.6,72.3
Sub-Saharan Africa,Nigeria,Fruits,Offline,M,846780526,30,9.33,6.92,279.9,207.6,72.3
Europe,Monaco,Fruits,Online,H,761048543,31,9.33,6.92,289.23,214.52,74.71
Asia,Laos,Fruits,Offline,H,682142674,31,9.33,6.92,289.23,214.52,74.71
Middle East and North Africa,Turkey,Fruits,Online,M,841137158,32,9.33,6.92,298.56,221.44,77.12
Europe,San Marino,Fruits,Offline,H,106957757,32,9.33,6.92,298.56,221.44,77.12
Central America and the Caribbean,Jamaica,Fruits,Offline,M,920043027,32,9.33,6.92,298.56,221.44,77.12
Asia,Laos,Fruits,Offline,C,351684224,32,9.33,6.92,298.56,221.44,77.12
Sub-Saharan Africa,Namibia,Fruits,Offline,C,797679793,32,9.33,6.92,298.56,221.44,77.12
Sub-Saharan Africa,Angola,Fruits,Online,L,596410691,32,9.33,6.92,298.56,221.44,77.12
Asia,Malaysia,Fruits,Offline,L,921225774,33,9.33,6.92,307.89,228.36,79.53
Sub-Saharan Africa,Sao Tome and Principe,Fruits,Offline,C,755405175,33,9.33,6.92,307.89,228.36,79.53
Middle East and North Africa,Somalia,Fruits,Offline,H,222494876,33,9.33,6.92,307.89,228.36,79.53
Central America and the Caribbean,Saint Lucia,Fruits,Online,M,877768409,33,9.33,6.92,307.89,228.36,79.53
Europe,Portugal,Fruits,Offline,C,388315474,33,9.33,6.92,307.89,228.36,79.53
Europe,Andorra,Fruits,Online,H,468404090,34,9.33,6.92,317.22,235.28,81.94
Middle East and North Africa,United Arab Emirates,Fruits,Online,C,180220258,34,9.33,6.92,317.22,235.28,81.94
Sub-Saharan Africa,Benin,Fruits,Online,H,835493791,34,9.33,6.92,317.22,235.28,81.94
Europe,Croatia,Fruits,Offline,M,144771754,34,9.33,6.92,317.22,235.28,81.94
Europe,Serbia,Fruits,Online,L,346040856,34,9.33,6.92,317.22,235.28,81.94
Sub-Saharan Africa,Zambia,Fruits,Offline,H,389498221,34,9.33,6.92,317.22,235.28,81.94
Sub-Saharan Africa,Cote d'Ivoire,Fruits,Online,M,469586837,35,9.33,6.92,326.55,242.2,84.35
Europe,Cyprus,Fruits,Offline,H,714313304,35,9.33,6.92,326.55,242.2,84.35
Australia and Oceania,Fiji,Fruits,Offline,C,347223603,35,9.33,6.92,326.55,242.2,84.35
Sub-Saharan Africa,Botswana,Fruits,Offline,H,505035340,35,9.33,6.92,326.55,242.2,84.35
Asia,Taiwan,Fruits,Online,L,836676537,35,9.33,6.92,326.55,242.2,84.35
Sub-Saharan Africa,South Sudan,Fruits,Online,L,382672107,35,9.33,6.92,326.55,242.2,84.35
Asia,Philippines,Fruits,Online,M,548492705,35,9.33,6.92,326.55,242.2,84.35
Asia,Philippines,Fruits,Online,H,218034255,36,9.33,6.92,335.88,249.12,86.76
Asia,Mongolia,Fruits,Offline,H,829850423,36,9.33,6.92,335.88,249.12,86.76
Europe,Bosnia and Herzegovina,Fruits,Offline,C,995671021,36,9.33,6.92,335.88,249.12,86.76
Sub-Saharan Africa,Zimbabwe,Fruits,Offline,L,628581321,36,9.33,6.92,335.88,249.12,86.76
North America,Canada,Fruits,Offline,M,831033170,37,9.33,6.92,345.21,256.04,89.17
Australia and Oceania,Nauru,Fruits,Online,L,874490535,37,9.33,6.92,345.21,256.04,89.17
Asia,Singapore,Fruits,Online,C,787575805,37,9.33,6.92,345.21,256.04,89.17
Sub-Saharan Africa,Cape Verde,Fruits,Offline,L,132302272,37,9.33,6.92,345.21,256.04,89.17
Middle East and North Africa,Azerbaijan,Fruits,Offline,M,752127301,37,9.33,6.92,345.21,256.04,89.17
Sub-Saharan Africa,Republic of the Congo,Fruits,Online,C,420486104,37,9.33,6.92,345.21,256.04,89.17
Asia,Vietnam,Fruits,Offline,H,133485019,38,9.33,6.92,354.54,262.96,91.58
Sub-Saharan Africa,Gabon,Fruits,Online,C,666395318,38,9.33,6.92,354.54,262.96,91.58
Asia,Thailand,Fruits,Online,C,745301187,38,9.33,6.92,354.54,262.96,91.58
Europe,France,Fruits,Online,L,911121785,38,9.33,6.92,354.54,262.96,91.58
Middle East and North Africa,Bahrain,Fruits,Offline,C,991210401,39,9.33,6.92,363.87,269.88,93.99
Australia and Oceania,Solomon Islands,Fruits,Online,M,501757466,39,9.33,6.92,363.87,269.88,93.99
Sub-Saharan Africa,Eritrea,Fruits,Online,M,617294585,40,9.33,6.92,373.2,276.8,96.4
Australia and Oceania,Tonga,Fruits,Online,M,171299016,40,9.33,6.92,373.2,276.8,96.4
Sub-Saharan Africa,Madagascar,Fruits,Offline,C,581846082,40,9.33,6.92,373.2,276.8,96.4
Australia and Oceania,Palau,Fruits,Online,H,783115184,40,9.33,6.92,373.2,276.8,96.4
Middle East and North Africa,Iran,Fruits,Offline,L,330293500,41,9.33,6.92,382.53,283.72,98.81
Sub-Saharan Africa,Guinea,Fruits,Offline,H,244561517,42,9.33,6.92,391.86,290.64,101.22
Central America and the Caribbean,Dominica,Fruits,Online,L,655108582,42,9.33,6.92,391.86,290.64,101.22
Central America and the Caribbean,Grenada,Fruits,Online,C,943292415,42,9.33,6.92,391.86,290.64,101.22
Sub-Saharan Africa,Lesotho,Fruits,Offline,M,532745349,42,9.33,6.92,391.86,290.64,101.22
Middle East and North Africa,Kuwait,Fruits,Online,L,288018882,42,9.33,6.92,391.86,290.64,101.22
Sub-Saharan Africa,Mali,Fruits,Online,M,820929181,42,9.33,6.92,391.86,290.64,101.22
Middle East and North Africa,Saudi Arabia,Fruits,Offline,L,533928096,43,9.33,6.92,401.19,297.56,103.63
Middle East and North Africa,Kuwait,Fruits,Online,M,857560431,43,9.33,6.92,401.19,297.56,103.63
Asia,Brunei,Fruits,Offline,C,368107497,43,9.33,6.92,401.19,297.56,103.63
Europe,Montenegro,Fruits,Online,H,411564862,43,9.33,6.92,401.19,297.56,103.63
Central America and the Caribbean,Saint Kitts and Nevis ,Fruits,Offline,C,289201629,43,9.33,6.92,401.19,297.56,103.63
Asia,India,Fruits,Offline,C,656291329,43,9.33,6.92,401.19,297.56,103.63
Europe,Ireland,Fruits,Offline,C,447013366,43,9.33,6.92,401.19,297.56,103.63
Europe,Liechtenstein,Fruits,Offline,C,404738748,44,9.33,6.92,410.52,304.48,106.04
Sub-Saharan Africa,Mauritania,Fruits,Online,H,160012280,44,9.33,6.92,410.52,304.48,106.04
Sub-Saharan Africa,Mauritania,Fruits,Online,C,729553830,45,9.33,6.92,419.85,311.4,108.45
Asia,Malaysia,Fruits,Online,C,571742093,46,9.33,6.92,429.18,318.32,110.86
Sub-Saharan Africa,Benin,Fruits,Online,L,816468560,46,9.33,6.92,429.18,318.32,110.86
Sub-Saharan Africa,Niger,Fruits,Online,C,117737662,46,9.33,6.92,429.18,318.32,110.86
Europe,Malta,Fruits,Online,L,362464129,46,9.33,6.92,429.18,318.32,110.86
Sub-Saharan Africa,Botswana,Fruits,Online,M,486010110,47,9.33,6.92,438.51,325.24,113.27
Central America and the Caribbean,Panama,Fruits,Offline,H,809642446,47,9.33,6.92,438.51,325.24,113.27
Sub-Saharan Africa,Tanzania,Fruits,Online,C,321372258,48,9.33,6.92,447.84,332.16,115.68
Sub-Saharan Africa,Seychelles ,Fruits,Offline,L,645004594,48,9.33,6.92,447.84,332.16,115.68
Middle East and North Africa,Syria,Fruits,Offline,C,112094295,48,9.33,6.92,447.84,332.16,115.68
Europe,Slovenia,Fruits,Offline,M,235640275,49,9.33,6.92,457.17,339.08,118.09
Europe,Russia,Fruits,Offline,M,847456443,49,9.33,6.92,457.17,339.08,118.09
Australia and Oceania,Australia,Fruits,Online,L,848639190,50,9.33,6.92,466.5,346,120.5
North America,Canada,Fruits,Online,L,481549489,50,9.33,6.92,466.5,346,120.5
Europe,Ukraine,Fruits,Online,M,193365657,50,9.33,6.92,466.5,346,120.5
Europe,Slovenia,Fruits,Offline,M,805181825,50,9.33,6.92,466.5,346,120.5
Australia and Oceania,Marshall Islands,Fruits,Offline,L,806364572,51,9.33,6.92,475.83,352.92,122.91
Asia,Myanmar,Fruits,Offline,C,719449841,51,9.33,6.92,475.83,352.92,122.91
Europe,Croatia,Fruits,Offline,L,885270440,51,9.33,6.92,475.83,352.92,122.91
Sub-Saharan Africa,Central African Republic,Fruits,Offline,L,352360141,51,9.33,6.92,475.83,352.92,122.91
Europe,Ukraine,Fruits,Online,H,762907207,51,9.33,6.92,475.83,352.92,122.91
Asia,Turkmenistan,Fruits,Online,C,965359055,52,9.33,6.92,485.16,359.84,125.32
Middle East and North Africa,Afghanistan,Fruits,Online,H,353542888,52,9.33,6.92,485.16,359.84,125.32
Sub-Saharan Africa,Chad,Fruits,Offline,L,921901690,52,9.33,6.92,485.16,359.84,125.32
Australia and Oceania,Fiji,Fruits,Offline,H,757263839,53,9.33,6.92,494.49,366.76,127.73
Sub-Saharan Africa,Cote d'Ivoire,Fruits,Offline,M,879627072,53,9.33,6.92,494.49,366.76,127.73
Sub-Saharan Africa,Ethiopia,Fruits,Online,L,267810904,53,9.33,6.92,494.49,366.76,127.73
Sub-Saharan Africa,Ghana,Fruits,Online,L,555994737,53,9.33,6.92,494.49,366.76,127.73
Sub-Saharan Africa,Guinea,Fruits,Online,M,225536286,54,9.33,6.92,503.82,373.68,130.14
Middle East and North Africa,Azerbaijan,Fruits,Online,L,592625987,54,9.33,6.92,503.82,373.68,130.14
Europe,Ireland,Fruits,Online,M,758446586,54,9.33,6.92,503.82,373.68,130.14
Sub-Saharan Africa,Lesotho,Fruits,Offline,L,513720118,54,9.33,6.92,503.82,373.68,130.14
Sub-Saharan Africa,Guinea,Fruits,Online,M,795077836,55,9.33,6.92,513.15,380.6,132.55
Central America and the Caribbean,Dominica,Fruits,Offline,C,305624902,55,9.33,6.92,513.15,380.6,132.55
Middle East and North Africa,Kuwait,Fruits,Offline,L,838535201,55,9.33,6.92,513.15,380.6,132.55
Australia and Oceania,Nauru,Fruits,Offline,C,384530770,55,9.33,6.92,513.15,380.6,132.55
Sub-Saharan Africa,Gabon,Fruits,Online,H,506894004,55,9.33,6.92,513.15,380.6,132.55
Middle East and North Africa,Lebanon,Fruits,Offline,M,508076751,56,9.33,6.92,522.48,387.52,134.96
Australia and Oceania,Vanuatu,Fruits,Online,C,630439984,56,9.33,6.92,522.48,387.52,134.96
Sub-Saharan Africa,Madagascar,Fruits,Offline,H,422344768,57,9.33,6.92,531.81,394.44,137.37
Europe,Malta,Fruits,Offline,H,343438899,57,9.33,6.92,531.81,394.44,137.37
Europe,Lithuania,Fruits,Offline,C,955255067,57,9.33,6.92,531.81,394.44,137.37
Australia and Oceania,Solomon Islands,Fruits,Online,L,911797702,57,9.33,6.92,531.81,394.44,137.37
Middle East and North Africa,Lebanon,Fruits,Online,M,177618300,57,9.33,6.92,531.81,394.44,137.37
Middle East and North Africa,Israel,Fruits,Offline,C,458976018,58,9.33,6.92,541.14,401.36,139.78
Central America and the Caribbean,El Salvador,Fruits,Online,H,214249551,58,9.33,6.92,541.14,401.36,139.78
Europe,Lithuania,Fruits,Offline,L,624796617,58,9.33,6.92,541.14,401.36,139.78
Middle East and North Africa,Syria,Fruits,Online,M,423527514,58,9.33,6.92,541.14,401.36,139.78
Central America and the Caribbean,Panama,Fruits,Offline,M,790617215,58,9.33,6.92,541.14,401.36,139.78
Europe,Netherlands,Fruits,Online,C,301164281,58,9.33,6.92,541.14,401.36,139.78
Middle East and North Africa,Libya,Fruits,Online,H,747159850,58,9.33,6.92,541.14,401.36,139.78
Central America and the Caribbean,Trinidad and Tobago,Fruits,Offline,M,748342597,59,9.33,6.92,550.47,408.28,142.19
Asia,China,Fruits,Offline,M,827248466,59,9.33,6.92,550.47,408.28,142.19
Asia,Kazakhstan,Fruits,Offline,L,215432298,59,9.33,6.92,550.47,408.28,142.19
Europe,Norway,Fruits,Online,C,870705831,59,9.33,6.92,550.47,408.28,142.19
Europe,Monaco,Fruits,Offline,L,582521998,59,9.33,6.92,550.47,408.28,142.19
Sub-Saharan Africa,Malawi,Fruits,Offline,L,661427867,59,9.33,6.92,550.47,408.28,142.19
Middle East and North Africa,Yemen,Fruits,Offline,H,950794446,60,9.33,6.92,559.8,415.2,144.6
Europe,Macedonia,Fruits,Offline,M,863879716,60,9.33,6.92,559.8,415.2,144.6
Middle East and North Africa,Qatar,Fruits,Online,C,374426782,60,9.33,6.92,559.8,415.2,144.6
Asia,Laos,Fruits,Online,M,173157680,60,9.33,6.92,559.8,415.2,144.6
Sub-Saharan Africa,Burkina Faso,Fruits,Online,M,706067979,60,9.33,6.92,559.8,415.2,144.6
Sub-Saharan Africa,Rwanda,Fruits,Online,L,907337081,60,9.33,6.92,559.8,415.2,144.6
Central America and the Caribbean,Trinidad and Tobago,Fruits,Offline,H,417884147,60,9.33,6.92,559.8,415.2,144.6
Sub-Saharan Africa,Angola,Fruits,Offline,C,987425696,61,9.33,6.92,569.13,422.12,147.01
Asia,North Korea,Fruits,Offline,H,454515397,61,9.33,6.92,569.13,422.12,147.01
Central America and the Caribbean,Jamaica,Fruits,Offline,C,411058032,61,9.33,6.92,569.13,422.12,147.01
Asia,Myanmar,Fruits,Online,M,130883061,61,9.33,6.92,569.13,422.12,147.01
Europe,Austria,Fruits,Online,C,908519828,61,9.33,-96,569.13,422.12,147.01
