DATE,MATRIX,STATE,INSTRUMENT,CAS NUMBER,SUBSTANCE,RESULTS,UNIT,INTERVAL
June 14 2010,Air,Louisiana,MultiRae,N/A,VOC,,ppm,1-Hour Avg
June 14 2010,Air,Louisiana,MultiRae,N/A,VOC,,ppm,1-Hour Avg
,Air,Louisiana,MultiRae,N/A,VOC,,ppm,1-Hour Avg
June 14 2010,Air,Louisiana,EBAM,N/A,PM10,19.8,ug/m3,1-Hour Avg
June 14 2010,Air,Louisiana,MultiRae,N/A,VOC,,ppm,1-Hour Avg
June 14 2010,Air,Louisiana,EBAM,N/A,PM10,20.7,ug/m3,1-Hour Avg
June 14 2010,Air,,EBAM,N/A,PM10,32.1,ug/m3,1-Hour Avg
June 14 2010,Air,Louisiana,AAMEiEn,N/A,VOC,0.1,ppm,1-Hour Avg
June 14 2010,Air,Louisiana,MiniRAE,N/A,VOC,0.1,ppm,1-Hour Avg
June 14 2014,Air,Louisiana,EBAM,N/A,PM10,70.9,ug/m3,1-Hour Avg
June 14 2014,Air,Louisiana,MultiRae,N/A,VOC,1.2,ppm,1-Hour Avg
June 14 2014,Air,Louisiana,MultiRae,N/A,H2S,,ppm,
June 14 2014,Air,,MiniRAE,N/A,VOC,0.2,ppm,1-Hour Avg
June 14 2014,Air,Louisiana,EBAM,N/A,PM10,32.3,ug/m3,1-Hour Avg
June 14 2014,Air,Louisiana,EBAM,N/A,PM10,24.1,ug/m3,1-Hour Avg
June 14 2014,Air,Louisiana,MultiRae,N/A,H2S,,ppm,1-Hour Avg
June 14 2014,Axr,Louisiana,EBAM,N/A,PM10,32.3,ug/m3,1-Hour Avg
June 14 2010,Air,Louisiana,MultiRae,N/A,VOC,0.2,ppm,1Hour Avg
June 14 2010,Air,Louisiana,EBAM,N/A,PM10,40.6,ug/m3,1Hour Avg
June 14 2010,Air,Louisiana,MultiRae,N/A,H2S,,ppm,1Hour Avg
June 14 2010,Air,Louisiana,EBAM,N/A,PM10,19.6,ug/m3,1Hour Avg
Junv @4 2Q1X,Air,Louisiana,MultiRae,N/A,VOC,,ppm,1-Hour Avg
June 14 2010,Air,Louisiana,EBAM,N/A,PM10,44.4,ug/m3,1-Hour Avg
June 14 2010,Air,Louisiana,MultiRae,N/A,H2S,,ppm,1-Hour Avg
June 14 2010,Air,Louisiana,MultiRae,N/A,H2S,,ug/m3,1-Hour Avg
June 14 2010,Air,Louisiana,MultiRae,N/A,VOC,,ppm,1-Hour Avg
June 14 2010,Air,Louisiana,,N/A,VOC,2.7,ppm,1-Hour Avg
June 14 2010,Air,Louisiana,MultiRae,,VOC,0.2,ppm,1-Hour Avg
June 14 2010,Air,Louisiana,MultiRae,,VOC,0.8,ppm,1-Hour Avg
June 14 2010,Air,Louisiana,EBAM,N/A,PM10,12.8,ug/m3,1-Hour Avg
June 14 2010,Air,Louisiana,MultiRae,,VOC,,ppm,1-Hour Avg
June 14 2010,Air,Louisiana,MultiRae,,H2S,,ppm,1-Hour Avg
June 14 2010,.,Louisiana,MultiRae,,VOC,,ppm,1-Hour Avg
June 14 2010,Air,Louisiana,EBAM,N/A,PM10,89.7,ug/m3,1-Hour Avg
June 14 2010,Air,Louisiana,EBAM,N/A,PM10,25.9,ug/[3,1-Hour Avg
June 14 2010,Air,,MiniRAE,N/A,VOC,1,ppm,1-Hour Avg
June 14 2010,Air,Louisiana,MultiRae,,VOC,,ppm,1-Hour Avg
June 14 2010,Air,Louisiana,EBAM,N/A,PM10,,ug/m3,1-Hour Avg
June 14 2010,Air,,EBAM,N/A,PM10,29.3,ug/m3,1-Hour Avg
June 14 2010,Air,Louisiana,MiniRAE,N/A,VOC,0.8,ppm,1-Hour Avg
June 14 2010,Air,Louisiana,MiniRAE,N/A,VOC,3,ppm,1-Hour Avg
May 24 2010,Air,Louisiana,EBAM,N/A,PM10,44.4,ug/m3,1-Hour Avg
June 14 2010,Air,Louisiana,EBAM,N/A,PM10,22.6,ug/m3,1-Hour Avg
June 14 2010,Air,Louisiana,MultiRae,,H2S,,ppm,1-Hour Avg
June 14 2010,Air,Louisiana,MultiRae,N/A,H2S,,ppm,1-Hour Avg
June 13 2010,Air,Louisiana,EBAM,N/A,PM10,16.7,ug/m3,1-Hour Avg
June 13 2010,Air,Louisiana,MiniRAE,N/A,VOC,0.1,ppm,1-Hour Avg
June 13 2>10,rii,,MiniRAE,,VOC,0.2,pp^m,1-Hour Avg
June 13 2010,Air,Louisiana,EBAM,N/A,PM10,20.7,ug/m3,1-Hour Avg
June 13 2010,Air,Louisiana,MiniRAE,N/A,VOC,0.1,ppm,1-Hour Avg
June 13 2010,Air,,MultiRae,N/A,VOC,,ppm,1-Hour Avg
June 13 2010,Air,Louisiana,MultiRae,N/A,H2S,,ppm,1-Hour Avg
June 13 2010,Air,Louisiana,MultiRae,N/A,VOC,,ppm,1-Hour Avg
June 13 2010,Air,Louisiana,EBAM,N/A,PM10,65.3,ug/m3,1-Hour Avg
June 13 2010,Air,,EBAM,N/A,PM10,35.7,ug/m3,1-Hour Avg
June 13 2010,Air,Louisiana,MultiRae,N/A,VOC,,ppm,1-Hour Avg
June 13 2010,Air,Louisiana,EBAM,N/A,PM10,61.9,ug/m3,1-Hour Avg
June 13 2010,Air,Louisiana,EBAM,N/A,PM10,27.7,ug/m3,1-Hour Avg
June 13 2010,Air,Louisiana,EBAM,N/A,PM10,27.1,ug/m3,1-Hour Avg
June 13 2010,Air,Louisiana,EBAM,N/A,PM10,15.4,ug/m3,1-Hour Avg
June 13 2010,Air,Louisiana,MultiRae,N/A,VOC,0.8,ppm,1-Hour Avg
June 13 2010,,Louisiana,,N/A,VOC,,ppm,1-Hour Avg
June 13 2010,Air,,MultiRae,N/A,h2s,,,1-Hour Avg
June 13 2010,Air,Louisiana,EBAM,N/A,PM10,65.3,ppm,1-Hour Avg
June 13 2010,Air,Louisiana,MultiRae,N/A,h2s,,ug/m3,1-Hour Avg
June 13 2010,Air,Louisiana,EBAM,N/A,PM10,15.5,ug/m3,1-Hour Avg
June 13 2010,Air,Louisiana,MultiRae,N/A,VOC,0.2,ppm,1-Hour Avg
June 13 2010,Air,Louisiana,EBAM,N/A,PM10,52.4,ug/m3,1-Hour Avg
June 13 2010,Air,Louisiana,EBAM,N/A,PM10,21,ug/m3,1-Hour Avg
June 13 2010,Air,Louisiana,MultiRae,N/A,VOC,0.1,ppm,1-Hour Avg
June 13 2010,Air,Louisiana,EBAM,N/A,PM10,19.9,ug/m3,1-Hour Avg
June 13 2010,Air,Louisiana,MultiRae,N/A,VOC,,true,1-Hour Avg
June 13 2010,Air,Louisiana,MultiRae,N/A,h2s,,ppm,1-Hour Avg
June 13 2010,Air,Louisiana,EBAM,N/A,PM10,27.9,ug/m3,1-Hour Avg
June 13 2010,Air,,EBAM,N/A,PM10,38.8,ppm,1-Hour Avg
June 13 2010,Air,Louisiana,MultiRae,N/A,VOC,0.2,,1-Hour Avg
June 13 2010,Air,Louisiana,MiniRAE,N/A,VOC,0.1,ppm,1-Hour Avg
June 13 2010,Air,Louisiana,EBAM,N/A,PM10,24.1,ug/m3,1-Hour Avg
June 13 2010,Air,Louisiana,MultiRae,N/A,VOC,,ppm,H uA-ogvr1
June 13 2010,Air,Louisiana,MultiRae,N/A,h2s,,ppm,1-Hour Avg
June 13 2010,Air,Louisiana,MultiRae,N/A,VOC,0.4,ppm,1-Hour Avg
June 13 2010,Air,,MiniRAE,N/A,VOC,0.2,ppm,1-Hour Avg
June 13 2010,Air,Louisiana,EBAM,N/A,PM10,27.4,ug/m3,1-Hour Avg
June 13 2010,Air,Louisiana,EBAM,N/A,PM10,27.9,ug/m3,1-Hour Avg
June 13 2010,Air,Louisiana,MiniRAE,N/A,VOC,0.1,ppm,1-Hour Avg
June 13 2010,Air,Louisiana,EBAM,N/A,PM10,53,ppm,1-Hour Avg
1123  nu3eu ,mir,Louisiana,MultiRae,N/A,VOC,,ppm,1-Hour Avg
June 13 2010,Air,Louisiana,ebam,N/A,PM10,26,ug/m3,1-Hour Avg
June 13 2010,Air,Louisiana,MultiRae,N/A,h2s,,ppm,1-Hour Avg
June 13 2010,Air,Louisiana,ebam,N/A,PM10,64.4,ug/m3,1-Hour Avg
June 13 2010,Air,Louisiana,MultiRae,N/A,VOC,0.6,ppm,1-Hour Avg
June 13 2010,Air,Louisiana,MiniRAE,N/A,VOC,0.1,ppm,1-Hour Avg
" Je 0023u1n1",,,MiniRAE,N/A,VOC,0.2,pmm,1-Hour Avg
June 13 2010,Air,Louisiana,emab,N/A,PM10,25,ug/m3,1-Hour Avg
June 13 2010,Air,Alabama,DataRam 4,N/A,PM10,48.2,ug/m3,1-Hour Avg
June 13 2010,Air,Louisiana,MultiRae,N/A,VOC,,ppm,1-Hour Avg
June 13 2010,Air,isiLoaaun,MultiRae,N/A,VOC,,ppm,1-Hour Avg
June 13 2010,Air,Louisiana,MultiRae,N/A,h2s,,ppm,1-Hour Avg
June 13 2010,Air,,ebam,N/A,PM10,36.3,ug/m3,1-Hour Avg
June 13 2010,Air,Louisiana,ebam,N/A,PM10,33.7,ug/m3,1-Hour Avg
June 13 2010,Air,Louisiana,MiniRAE,N/A,VOC,0.1,ppm,1-Hour Avg
June 13 2010,Air,Louisiana,ebam,N/A,PM10,51.5,ug/m3,1-Hour Avg
June 13 2010,Air,Louisiana,ebam,N/A,PM10,35.3,ug/m3,1-Hour Avg
June 13 2010,Air,Louisiana,ebam,N/A,PM10,97,ug/m3,1-Hour Avg
June 13 2010,Air,Louisiana,ebam,N/A,PM10,20.9,ug/m3,1-Hour Avg
June 13 2010,,Louisiana,RMtiealM,N/A,VOC,,ppm,
,Air,Louisiana,MultiRae,N/A,h2s,,ppm,1-Hour jAvg
"JFhL,1t b010",Air,Louisiana,ebam,N/A,PM10,33.7,ug/m3,1-Hour Avg
June 13 2010,Air,Louisiana,MultiRae,N/A,h2s,,ppm,1-Hour Avg
June 13 2010,Air,Louisiana,ebam,N/A,PM10,29.2,ug/m3,1-Hour Avg
June 13 2010,Air,Louisiana,MultiRae,N/A,VOC,1.5,ppm,1-Hour Avg
June 13 2010,Air,Louisiana,MultiRae,N/A,VOC,0.1,ppm,1Hour Avg
June 13 2010,Air,Louisiana,MultiRae,N/A,VOC,0.1,ppm,1Hour Avg
June 13 2010,Air,Louisiana,MultiRae,N/A,VOC,,ppm,1Hour Avg
June 13 2010,Air,,MiniRAE,N/A,VOC,0.3,ppm,1Hour Avg
June 13 2010,Air,Louisiana,MultiRae,N/A,h2s,,ppm,1Hour Avg
June 13( 2010,Air,Louisiana,ebam,N/A,PM10,277.,ug/m3,1Hour Avg
June 13 2010,Air,,,N/A,PM10,-1.8,ug/m3,1Hour Avg
June 13 2010,Air,Louisiana,EBAM,N/A,PM10,-1.8,ug/m3,1Hour Avg
June 13 2010,.,Louisiana,MiniRAE,N/A,VOC,-1.8,ppm,1Hour Avg
June 13 2010,Air,Louisiana,BMBE,,PM10,-1.8,ug/m3,1Hour Avg
June 13 2010,Air,Louisiana,EBAM,N/A,PM10,-1.8,ug/m3,1Hour Avg
June 13 2010,Air,Louisiana,EBAM,N/A,PM10,41.2,ug/m3,1-Hour Avg
June 13 2010,Air,Alabama,DataRam 4,N/A,PM10,53,ug/m3,1-Hour Avg
June 13 2010,Air,Louisiana,EBAM,N/A,PM10,22.3,ug/m3,1-Hour Avg
June 13 2010,Air,Louisiana,MultiRae,N/A,VOC,,ppm,1-Hour Avg
June 13 2010,Air,Louisiana,ebam,N/A,PM10,32.1,ug/m3,1-Hour Avg
June 13 2010,Air,Louisiana,MultiRae,N/A,VOC,,ppm,1-Hour Avg
May 24 2010,Air,Alabama,DataRam 4,N/A,PM10,21.3,ug/m3,1-Hour Avg
June 13 2010,Air,Louisiana,MultiRae,N/A,VOC,0.1,ppm,1-Hour Avg
June 13 2010,Air,Louisiana,EBAM,N/A,PM10,19.7,ug/m3,1-Hour Avg
June 13 2010,Air,Louisiana,MiniRAE,N/A,VOC,0.1,ppm,1-Hour Avg
June 13 2010,Air,Louisiana,MultiRae,N/A,h2s,,ppm,1-Hour Avg
June 13 2010,Air,Louisiana,MultiRae,N/A,VOC,0.2,ppm,1-Hour Avg
June 13 2010,ANr,Louisiana,MultiRae,N/A,h2s,0.2,ppm,O1-Hour Avg
June 13 2010,Air,,MiniRAE,N/A,voc,0.3,ppm,1-Hour Avg
June 13 2010,Air,Louisiana,MultiRae,N/A,H2S,,ppm,1-Hour Avg
June 13 2010,Air,Alabama,DataRam 4,N/A,PM10,25.3,ug/m3,1-Hour Avg
June 13 2010,Air,Louisiana,MultiRae,N/A,h2s,.10,ppm,1-Hour Avg
June 13 2010,Air,Louisiana,EBAM,N/A,PM10,32.1,ug/m3,1-Hour Avg
June 13 2010,Air,Louisiana,MultiRae,N/A,voc,,ppm,1-Hour Avg
June 13 2010,Air,Louisiana,MultiRae,N/A,voc,0.1,ppm,1-Hour Avg
June 13 2010,Air,Louisiana,EBAM,N/A,PM10,19.7,ug/m3,1-Hour Avg
June 13 2010,Air,Louisiana,EBAM,N/A,PM10,9.5,ug/m3,1-Hour Avg
June 13 2010,Air,Louisiana,EBAM,N/A,PM10,15.5,ug/m3,1-Hour Avg
June 13 2010,Air,Louisiana,MultiRae,N/A,voc,,ppm,1-Hour Avg
,Air,Louisiana,EBAM,N/A,PM10,24.8,ug/m3,1-Hour Avg
June 13 2010,Air,Louisiana,EBAM,N/A,PM10,17,ug/m3,1-Hour Avg
June 13 2010,Air,Louisiana,MultiRae,N/A,voc,,ug/m3,1-Hour Avg
June 13 2010,Air,Louisiana,MultiRae,N/A,H2S,,ppm,1-Hour Avg
June 13 2010,Air,Louisiana,MiniRAE,N/A,voc,0.2,ppm,1-Hour Avg
June 13 2010,Air,Louisiana,EBAM,N/A,PM10,14.9,,1-Hour Avg
June 13 2010,Air,Louisiana,EBAM,N/A,PM10,19.4,ug/m3,1-Hour Avg
June 13 2010,Air,Louisiana,EBAM,N/A,PM10,14.9,ug/m3,1-Hour Avg
June 13 2010,Air,Louisiana,EBAM,N/A,PM10,24.2,ug/m3,1-Hour Avg
June 14 2014,Air,Louisiana,MultiRae,N/A,voc,,ppm,1-Hour Avg
June 14 2014,Air,,,N/A,PM10,,ug/m3,
June 14 2014,Air,Louisiana,MiniRAE,N/A,voc,0.1,ppm,1-Hour Avg
June 14 2014,Air,Louisiana,MultiRae,N/A,voc,0.2,ppm,1-Hour Avg
June 14 2014,Air,Louisiana,MultiRae,N/A,H2S,0.1,ppm,1-Hour Avg
June 14 2014,Air,Alabama,DataRam,N/A,PM10,51.9,ug/m3,1-Hour Avg
June 14 2014,Air,Louisiana,MultiRae,N/A,H2S,,ppm,1-Hour Avg
June 13 2010,Air,Alabama,AreaRae,N/A,voc,,ppm,1-Hour Avg
June 13 2010,Arr,Alabama,AreaRae,N/A,voc,,ppm,1-Hour Avg
June 13 2010,Air,Alabama,DataRam 4,N/A,PM10,54.4,ug/m3,1-Hour Avg
June 13 2010,Air,Louisiana,EBAM,N/A,PM10,24.1,ug/m3,1-Hour Avg
June 13 2010,Air,Louisiana,xyz,N/A,voc,,ppm,1-Hour Avg
June 13 2010,Air,Louisiana,MultiRae,N/A,voc,,ppm,1-Hour Avg
June 13 2010,Air,Louisiana,xyz,N/A,H2S,0.2,ppm,1-Hour Avg
June 13 2010,Air,Louisiana,xyz,N/A,voc,,ppm,1-Hour Avg
June 13 2010,Air,,EBAM,N/A,PM10,32.3,ug/m3,1-Hour Avg
June 13 2010,Air,Louisiana,EBAM,N/A,PM10,180.1,ug/m3,1-Hour Avg
June 13 2010,Air,Louisiana,MiniRAE,N/A,voc,0.2,ppm,1-Hour Avg
June 13 2010,Air,Louisiana,EBAM,N/A,PM10,21.8,ug/m3,1-Hour Avg
June 13 2010,Air,Louisiana,EBAM,N/A,PM10,28.6,ug/m3,1-Hour Avg
June 13 2010,Air,Louisiana,xyz,N/A,VOC,,ppm,1-Hour Avg
June 13 2010,Air,Louisiana,EBAM,N/A,PM10,16.2,ug/m3,1-Hour Avg
June 13 2010,Air,Louisiana,EBAM,N/A,PM10,25.1,ug/m3,1-Hour Avg
June 13 2010,Air,Louisiana,xyz,N/A,VOC,,ppm,1-Hour Avg
June 13 2010,Air,Louisiana,EBAM,,PM10,11.9,ug/m3,1-Hour Avg
June 13 2010,Air,Louisiana,EBAM,N/A,PM10,13,ug/m3,1-Hour Avg
June 13 2010,Air,Louisiana,EBAM,N/A,PM10,180.1,ug/m3,1-Hour Avg
June 13 2010,Air,Alabama,AreaRae,N/A,H2S,,ppm,1-Hour Avg
June 13 2010,Air,,MiniRAE,N/A,VOC,0.3,ppm,1-Hour Avg
June 13 2010,Air,Louisiana,MiniRAE,N/A,VOC,0.1,ppm,1-Hour Avg
June 13 2010,Air,Alabama,DataRam,N/A,PM10,43,ug/m3,1-Hour Avg
June 13 2010,Air,Louisiana,xyz,N/A,VOC,0.2,ppm,
June 13 2010,Air,,MiniRAE,N/A,VOC,0.3,ppm,1-Hour Avg
June 13 2010,Air,Louisiana,xyz,N/A,H2S,,ppm,1-Hour Avg
June 13 2010,Air,Alabama,arearae,N/A,VOC,,ppm,1-Hour Avg
June 13 2010,,Alabama,areaRae,N/A,VOC,,ppm,1-Hour Avg
June 13 2010,Air,Alabama,AreaRae,N/A,VOC,,ppm,1-Hour Avg
June 13 2010,Air,Louisiana,EBAM,N/A,PM10,18.2,ug/m3,1-Hour Avg
June 13 2010,Air,Alabama,xyz,N/A,PM10,35.7,ug/m3,1-Hour Avg
June 13 2010,Air,Louisiana,MABE,N/A,PM10,111.3,ug/m3,1-Hour Avg
June 13 2010,Air,Louisiana,EBAM,N/A,PM10,24.7,ug/m3,1-Hour Avg
June 13 2010,,Louisiana,EBAM,N/A,PM10,17.2,,
June 13 2010,Air,Louisiana,xyz,N/A,VOC,,ppm,1-Hour Avg
June 13 2010,Air,Louisiana,xyz,N/A,H2S,0.2,ppm,1-Hour Avg
June 13 2010,Air,Alabama,AreaRae,N/A,VOC,0.1,ppm,1-Hour Avg
June 13 2010,Air,nasiLaiou,,N/A,VOC,0.2,p(pm,1-Hour Avg
June 13 2010,Air,Louisiana,EBAM,N/A,PM10,35.5,ug/m3,1-Hour Avg
June 13 2010,Air,Louisiana,xyz,N/A,VOC,,ppm,1-Hour Avg
June 13 2010,Air,Louisiana,EBAM,N/A,PM10,21.4,ug/m3,1-Hour Avg
J13n0Jn12 21,Air,,EBAM,N/A,PM10,21.4,ug/m3,1-Hour Avg
June 13 2010,Air,Louisiana,,N/A,VOC,,ppm,1-Hour Avg
June 13 2010,Air,Louisiana,EBAM,N/A,PM10,8.7,ug/m3,1Hour Avg
June 13 2010,Air,Mississippi,AreaRae,N/A,H2S,,ppm,1Hour Avg
June 13 2010,Air,,EBAM,N/A,PM10,22.2,ug/m3,1Hour Avg
June 13 2010,Air,Alabama,AreaRae,N/A,H2S,,ppm,1Hour Avg
June 13 2010,Air,Alabama,AreaRae,N/A,H2S,,ppm,1Hour Avg
May 24 2010,Air,Alabama,AreaRae,N/A,H2S,,ppm,1Hour Avg
June 13 2010,Air,Louisiana,xyz,N/A,VOC,,ppm,1Hour Avg
June 13 2010,Air,Mississippi,AreaRae,N/A,VOC,0.1,ppm,1-Hour Avg
June 13 2010,Air,,AreaRae,N/A,VOC,,ppm,1-Hour Avg
June 13 2010,Air,Louisiana,MiniRAE,N/A,VOC,4.3,ppm,1-Hour Avg
June 13 2010,Air,Louisiana,xyz,N/A,VOC,0.2,ppm,1-Hour Avg
June 13 2010,Air,Louisiana,xyz,N/A,H2S,0.1,ppm,1-Hour Avg
June 13 2010,Air,Louisiana,EBAM,N/A,PM10,111.3,ug/m3,1-Hour Avg
June 13 2010,Air,Alabama,DataRam,N/A,PM10,53.3,ug/m3,1-Hour Avg
June 13 2010,Air,Louisiana,MiniRAE,N/A,VOC,1.4,ppm,1-Hour Avg
June 13 2010,Air,Alabama,xyz,N/A,PM10,21.8,ug/m3,1-Hour Avg
June 13 2010,..,Alabama,DataRam,N/A,PM10,46.9,ug/m3,1-Hour Avg
June 13 2010,Air,,MiniRAE,N/A,VOC,1.5,ppm,1-Hour Avg
June 13 2010,Air,Louisiana,MultiRae,N/A,VOC,,ppm,1-Hour Avg
June 13 2010,Air,Alabama,AreaRae,N/A,VOC,,ppm,1-Hour Avg
June 13 2010,,Alabama,xyz,N/A,PM10,7777,ug/m3,1-Hour Avg
June 13 2010,Air,Louisiana,EBAM,N/A,PM10,15.6,ug/m3,1-Hour Avg
June 13 2010,Air,Louisiana,EBAM,N/A,PM10,13.9,ug/m3,1-Hour Avg
June 13 2010,,auLsaonii,MultiRae,N/A,VOC,,ppm,1-Hour Avg
June 13 2010,Air,Louisiana,MultiRae,N/A,H2S,,ppm,1-Hour Avg
June 13 2010,Air,Louisiana,MultiRae,N/A,H2S,,ppm,1-Hour Avg
June 13 2010,,Louisiana,MultiRae,N/A,VOC,,ppm,1-Hour Avg
June 13 2010,Air,Alabama,AreaRae,N/A,VOC,,ppm,1-Hour Avg
June 13 2010,Air,Louisiana,MultiRae,N/A,H2S,,ppm,1-Hour Avg
June 13 2010,Air,Louisiana,MultiRae,N/A,VOC,,ppm,1-Hour Avg
