Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,WindGustDir,WindGustSpeed,WindDir9am,WindSpeed9am,Humidity9am,Pressure9am,Cloud9am,Temp9am,RainToday,RISK_MM,RainTomorrow
21-01-2009,Cobar,25.4,33.5,0,13.6,N,46,NW,9,46,1012,4,28.9,No,0,No
22-01-2009,Cobar,21.8,30.7,0,8,WNW,56,N,24,71,1008.6,7,24.4,No,18,Yes
23-01-2009,Cobar,20.3,36,18,8.2,WSW,94,NNE,13,89,1008.6,7,24.7,Yes,8.6,Yes
24-01-2009,Cobar,22.1,34.7,8.6,8.6,NNW,50,SSW,11,46,1008.6,2,28.1,Yes,0,No
25-01-2009,Cobar,19.7,37.3,0,14.2,SSW,28,SE,13,19,1013.1,1,26.4,No,0,No
26-01-2009,Cobar,23.8,39.9,0,12.6,S,31,ENE,17,50,1014.6,0,28.7,No,0,No
27-01-2009,Cobar,27,38.7,0,14.2,ENE,46,ENE,24,45,1015.2,1,29,No,0,No
28-01-2009,Cobar,26.2,38.5,0,14.6,E,39,NNE,15,37,1014.4,0,29.6,No,0,No
29-01-2009,Cobar,25,39.5,0,14.6,ENE,52,NNE,19,31,1014.6,0,29.9,No,0,No
30-01-2009,Cobar,25.1,39.3,0,15.8,ESE,44,NNE,20,34,1013.8,0,29.9,No,0,No
31-01-2009,Cobar,25.2,38.5,0,16.2,ENE,44,NNE,24,35,1015.2,1,29,No,0,No
01-02-2009,Cobar,24.8,40.8,0,13.4,SE,30,W,9,34,1012.9,5,30.1,No,0,No
02-02-2009,Cobar,27.6,40.3,0,14.4,S,57,NNE,17,32,1010.4,5,32,No,0.6,No
03-02-2009,Cobar,23.6,40.4,0.6,11.8,WSW,54,E,9,42,1008.4,1,29.9,No,1.6,Yes
04-02-2009,Cobar,24.1,41.4,1.6,12.6,ENE,39,NE,17,50,1007,0,28.2,Yes,0,No
05-02-2009,Cobar,27.2,43.4,0,14.2,NNW,37,N,15,33,1005.9,1,32.6,No,0,No
06-02-2009,Cobar,29.1,43.5,0,13,WNW,28,NNW,9,25,1007.5,1,35.6,No,0,No
07-02-2009,Cobar,28.9,41.4,0,15.6,NNE,41,NNE,20,22,1010.4,1,32.1,No,0,No
08-02-2009,Cobar,25.1,42,0,17.4,NNE,39,N,15,23,1009.9,0,31.6,No,0,No
09-02-2009,Cobar,25.4,36.6,0,15.2,SW,43,SSW,19,24,1008.6,5,26.1,No,0,No
10-02-2009,Cobar,19.3,28.1,0,16,SSW,46,S,19,26,1010.2,7,19.6,No,0,No
11-02-2009,Cobar,14.1,25.9,0,11.6,SW,44,SSW,22,38,1011.9,0,14.8,No,0,No
12-02-2009,Cobar,14.5,30.1,0,9.6,S,37,S,9,44,1013.2,6,17.4,No,0.6,No
13-02-2009,Cobar,16.8,23.3,0.6,8,E,63,E,35,66,1013.8,7,18.5,No,26,Yes
14-02-2009,Cobar,16.1,19.1,26,6.6,ESE,54,ESE,28,81,1014.3,7,17.1,Yes,7,Yes
15-02-2009,Cobar,16,24.2,7,0.6,SE,43,SE,13,66,1012.1,5,18.9,Yes,0,No
16-02-2009,Cobar,17.4,19.7,0,6,ESE,48,SE,19,65,1011.2,7,19.2,No,32.6,Yes
17-02-2009,Cobar,15.9,20.8,32.6,3,ESE,44,ESE,15,94,1011.9,8,16.6,Yes,1.6,Yes
18-02-2009,Cobar,16.5,27.4,1.6,2,E,30,E,19,69,1009,3,20.1,Yes,0,No
19-02-2009,Cobar,16.8,30.6,0,5.2,SSE,26,E,6,66,1008.7,0,22.1,No,0,No
20-02-2009,Cobar,20.4,34,0,6.6,SW,31,WSW,9,45,1011,2,25.9,No,0,No
21-02-2009,Cobar,19.9,31.7,0,9,S,31,S,13,39,1012.5,1,23,No,0,No
22-02-2009,Cobar,17.2,34.3,0,10.2,WNW,39,E,15,52,1013.3,0,22.3,No,0,No
23-02-2009,Cobar,21.9,35.1,0,9,S,43,NNE,22,53,1012.8,3,25.9,No,2,Yes
24-02-2009,Cobar,21,34.7,2,10,E,46,NNE,15,60,1013.5,3,25.6,Yes,0.8,No
25-02-2009,Cobar,18.7,33.1,0.8,7.4,WSW,31,SSW,11,69,1014.9,2,23.6,No,0,No
26-02-2009,Cobar,17.9,33.8,0,8.4,ESE,24,ESE,13,25,1014.7,0,24,No,0,No
27-02-2009,Cobar,19.9,33.5,0,9.2,NE,39,ENE,26,55,1014.5,1,22.5,No,0,No
28-02-2009,Cobar,22.2,36.9,0,9.4,WSW,41,N,17,41,1010.9,6,25.8,No,0,No
01-03-2009,Cobar,16.9,32.8,0,12.4,SSW,30,SW,2,33,1011.4,6,20.4,No,0,No
02-03-2009,Cobar,20,31.1,0,10.4,SE,30,E,7,31,1013.4,7,23.1,No,0,No
03-03-2009,Cobar,23,38.9,0,7.2,W,65,NE,19,28,1012.8,7,25,No,0,No
04-03-2009,Cobar,18.6,24.5,0,15.2,SSW,54,SSW,22,46,1016,8,18.6,No,0,No
05-03-2009,Cobar,14.1,24.6,0,11,SSW,46,SSW,20,50,1016.9,1,15.1,No,0,No
06-03-2009,Cobar,11.9,26.4,0,8.4,WSW,41,SSW,11,52,1014.8,0,16.7,No,0,No
07-03-2009,Cobar,13.1,29.6,0,8,SW,26,ESE,11,42,1014.6,0,18.7,No,0,No
08-03-2009,Cobar,16.5,33.2,0,9.4,E,46,SE,15,29,1014.2,0,22.6,No,0,No
09-03-2009,Cobar,21.1,33.4,0,10.4,E,41,ENE,24,52,1015.8,3,22.5,No,0,No
10-03-2009,Cobar,21.6,31.1,0,10.8,SW,61,ENE,30,49,1014.9,7,24.2,No,0,No
11-03-2009,Cobar,19.5,31.4,0,6.8,ESE,46,ENE,26,54,1016.9,1,21.8,No,0,No
12-03-2009,Cobar,21.6,32.2,0,11.2,NNE,48,ENE,28,54,1016.2,6,23.9,No,9.2,Yes
13-03-2009,Cobar,18.5,29.6,9.2,7.6,NE,39,ENE,13,86,1016.1,5,20,Yes,1.2,Yes
14-03-2009,Cobar,19.1,34.2,1.2,4.4,NW,37,NA,NA,NA,NA,NA,NA,Yes,0,No
15-03-2009,Cobar,16,24.3,0,10.4,S,39,SSE,17,47,1014.5,1,17.1,No,0,No
16-03-2009,Cobar,9.2,24.4,0,7.6,SSW,41,SW,9,43,1015.1,0,16,No,0,No
17-03-2009,Cobar,12.1,25.8,0,6.8,SSW,30,SSW,11,58,1015.6,0,15.9,No,0,No
18-03-2009,Cobar,13.9,29.5,0,6.4,ESE,28,ESE,11,41,1015.8,0,20.2,No,0,No
19-03-2009,Cobar,15.3,32.3,0,6,SW,24,E,4,39,1014.7,5,21.3,No,0,No
20-03-2009,Cobar,17.6,33.9,0,8,E,39,ESE,7,29,1014.5,0,23.8,No,0,No
21-03-2009,Cobar,19.1,34.2,0,9,ENE,28,ENE,13,40,1014.7,1,22.8,No,0,No
22-03-2009,Cobar,20.9,34.3,0,10.2,NNW,28,NE,13,46,1014.4,7,21.9,No,0,No
23-03-2009,Cobar,21.3,35.9,0,9,N,35,N,9,35,1014.5,2,24.8,No,0,No
24-03-2009,Cobar,19.2,37,0,10.2,NNW,43,N,15,30,1014.9,1,25.1,No,0,No
25-03-2009,Cobar,23.5,36.5,0,15.6,NNW,44,NNE,19,29,1017.3,2,25.7,No,0,No
26-03-2009,Cobar,21.9,36.4,0,11.4,NNW,37,NNE,13,31,1019.2,5,25.2,No,0.2,No
27-03-2009,Cobar,20.8,31.2,0.2,11.4,SE,33,SSE,13,46,1021.3,3,22.5,No,0,No
28-03-2009,Cobar,15.9,31,0,9.8,ENE,37,ENE,20,52,1021.2,0,20.6,No,0,No
29-03-2009,Cobar,16.6,31.6,0,7.8,WSW,26,ENE,13,40,1020.3,5,20.6,No,0,No
30-03-2009,Cobar,17.3,31,0,7,SE,33,E,17,43,1019.5,3,20.4,No,0,No
31-03-2009,Cobar,17.5,30,0,8.2,NA,NA,SE,15,49,1018.4,1,20.5,No,0,No
01-04-2009,Cobar,18,30.6,0,8.4,SE,44,SE,15,55,1016.3,1,20.4,No,0,No
02-04-2009,Cobar,19.7,31.8,0,8.8,ESE,37,E,19,67,1017.9,0,21.9,No,0,No
03-04-2009,Cobar,21,32.8,0,6.8,N,31,ENE,19,60,1018,2,23.6,No,0.2,No
04-04-2009,Cobar,15.6,24.3,0.2,8.2,S,43,S,17,51,1020.2,0,16.3,No,0,No
05-04-2009,Cobar,9.9,24.6,0,7,SSW,31,SSE,11,40,1019.8,0,16.9,No,0,No
06-04-2009,Cobar,10.7,23.3,0,6.2,SSW,43,SSE,17,53,1021.2,0,16.4,No,0,No
07-04-2009,Cobar,9.4,25.6,0,7.6,SSW,31,S,13,44,1023.6,0,13.8,No,0,No
08-04-2009,Cobar,13.5,28.4,0,5.8,ENE,35,ENE,24,57,1023,1,19.9,No,0,No
09-04-2009,Cobar,17.1,28.7,0,6.6,WNW,43,ENE,15,45,1021.2,7,20.1,No,14.4,Yes
10-04-2009,Cobar,16.5,20.6,14.4,6,E,30,NE,7,97,1021.3,7,16.9,Yes,2.4,Yes
11-04-2009,Cobar,16,24.4,2.4,0.2,ENE,31,NNW,4,94,1023.1,7,17.6,Yes,5.4,Yes
12-04-2009,Cobar,16.8,23.9,5.4,2.4,NNE,20,ENE,4,89,1022.9,7,18.5,Yes,0,No
13-04-2009,Cobar,16.2,23.9,0,1.8,ENE,24,ESE,6,92,1020.6,7,18.9,No,0.4,No
14-04-2009,Cobar,15.1,24.1,0.4,2.2,SSW,19,NA,NA,94,1016.4,7,16.5,No,0,No
15-04-2009,Cobar,14.5,28.4,0,2.8,WNW,39,NW,15,56,1014.6,0,22,No,0,No
16-04-2009,Cobar,14.9,29.4,0,8,NW,33,ENE,13,52,1015.1,5,17.3,No,0,No
17-04-2009,Cobar,11.7,23.8,0,5,SSW,28,SSE,11,38,1017.7,0,17.2,No,0,No
18-04-2009,Cobar,11.2,23.8,0,5,S,35,S,7,50,1020.9,0,17.9,No,0,No
19-04-2009,Cobar,11.4,25.6,0,5,ESE,26,SSE,7,46,1020.3,0,18.9,No,0,No
20-04-2009,Cobar,13.3,24.1,0,5.2,SE,31,E,13,52,1019.6,0,18,No,0,No
21-04-2009,Cobar,11.9,24,0,6.2,ESE,35,E,19,52,1021,1,17.2,No,0,No
22-04-2009,Cobar,12.3,24.6,0,5,E,31,ESE,15,58,1021.8,4,17.9,No,0,No
23-04-2009,Cobar,12,25.9,0,4.4,NE,33,ENE,20,57,1018.5,0,17.5,No,0,No
24-04-2009,Cobar,16.7,24.6,0,7,WNW,57,NW,6,51,1009.2,8,18.5,No,0.6,No
25-04-2009,Cobar,12.7,23.4,0.6,5,NW,46,WSW,13,64,1010.3,1,17.1,No,1,No
26-04-2009,Cobar,11.2,18.4,1,5.6,WNW,63,WSW,22,54,1011.1,1,13.1,No,0,No
27-04-2009,Cobar,5.7,19.7,0,4.8,WSW,52,WSW,9,58,1017.7,0,12.6,No,1,No
28-04-2009,Cobar,12.4,19.9,1,4.2,WSW,35,SW,17,78,1020.7,7,14.7,No,0,No
29-04-2009,Cobar,6.2,17,0,4,SW,33,SSE,4,57,1021.6,7,11.4,No,0,No
30-04-2009,Cobar,3.7,17,0,3.2,NA,NA,S,9,54,1022.9,0,9.8,No,0,No
01-05-2009,Cobar,6.2,19.3,0,3,ESE,17,ESE,7,49,1024.9,6,14,No,0,No
02-05-2009,Cobar,6.6,20.6,0,2.4,S,28,SE,7,39,1025.6,0,15.2,No,0,No
03-05-2009,Cobar,7.5,22.8,0,4.2,ESE,30,SE,9,54,1026,0,14.8,No,0,No
04-05-2009,Cobar,8.5,23.3,0,4.2,ESE,22,SE,11,55,1028.3,0,15.6,No,0,No
05-05-2009,Cobar,9.7,23.1,0,4.8,S,22,ESE,7,41,1029.7,1,16.4,No,0,No
06-05-2009,Cobar,5.9,23.9,0,4.6,SW,20,NE,9,45,1027.4,1,16.2,No,0,No
07-05-2009,Cobar,7.9,23.5,0,4,SE,26,S,9,45,1025.5,1,14.8,No,0,No
08-05-2009,Cobar,7.5,21.7,0,4,SSW,24,S,9,65,1027.7,0,12.6,No,0,No
09-05-2009,Cobar,6.2,22.2,0,4,SSW,24,S,4,55,1025.1,0,12.9,No,0,No
10-05-2009,Cobar,7.7,23.2,0,3.4,SW,22,SE,6,45,1022.2,0,15.2,No,0,No
11-05-2009,Cobar,10.4,23.4,0,4.2,ENE,30,ENE,17,52,1022.6,0,15.1,No,0,No
12-05-2009,Cobar,9.7,23.2,0,4,S,24,NE,13,42,1021.5,0,16.3,No,0,No
13-05-2009,Cobar,9,21.2,0,3.4,WSW,33,E,2,45,1019.1,1,15.6,No,0,No
14-05-2009,Cobar,5.4,20.4,0,4.6,WSW,31,SW,6,51,1019.4,0,13.4,No,0,No
15-05-2009,Cobar,7.5,21.2,0,3.4,WSW,37,W,9,50,1019.6,1,15.3,No,0,No
16-05-2009,Cobar,8.8,20.6,0,4.4,SW,39,WSW,17,56,1018.1,2,15.5,No,0,No
17-05-2009,Cobar,7.8,19.4,0,3.6,S,31,S,7,64,1022.3,7,12.3,No,0,No
18-05-2009,Cobar,6.9,21,0,3,NA,NA,E,11,53,1020.3,5,12.7,No,7.6,Yes
19-05-2009,Cobar,12.8,14.7,7.6,4.6,NE,41,ENE,20,96,1018.7,8,13.9,Yes,17.6,Yes
20-05-2009,Cobar,12.5,15.6,17.6,0,ESE,52,E,20,96,1016.1,8,13.1,Yes,7.8,Yes
21-05-2009,Cobar,12.7,20,7.8,1.4,ESE,52,ESE,22,64,1018.2,7,15.4,Yes,0.2,No
22-05-2009,Cobar,10.9,20.8,0.2,2.8,ESE,46,SE,11,64,1018.5,1,14.8,No,0,No
23-05-2009,Cobar,12.6,22.9,0,4,E,44,E,24,68,1017.5,2,16.8,No,0,No
24-05-2009,Cobar,13.2,22.9,0,4,ENE,44,ENE,24,66,1021.2,2,16.9,No,0,No
25-05-2009,Cobar,13.5,21.5,0,4.6,NE,44,NE,24,67,1022.6,6,15.4,No,1,No
26-05-2009,Cobar,13,21.3,1,3.8,NE,26,NNE,13,87,1020.8,7,13.9,No,3.6,Yes
27-05-2009,Cobar,12.6,16.3,3.6,2.2,S,20,SSW,7,96,1021.5,8,12.7,Yes,0,No
28-05-2009,Cobar,7.2,15.9,0,0.8,SSW,24,S,6,74,1023.1,3,10.7,No,0,No
29-05-2009,Cobar,2.4,15.6,0,2.4,SW,28,SSW,6,82,1023.7,2,7.8,No,0,No
30-05-2009,Cobar,6.8,17.7,0,2.2,ESE,37,ESE,17,74,1025.6,0,11.7,No,0,No
31-05-2009,Cobar,10.7,15.6,0,2.6,E,43,E,19,76,1027.7,8,11.6,No,10,Yes
01-06-2009,Cobar,11.3,13,10,1.8,ENE,43,ENE,24,95,1026.5,8,11.4,Yes,12,Yes
02-06-2009,Cobar,11.1,13.9,12,0,ENE,30,ENE,15,97,1023.8,8,12.6,Yes,13.6,Yes
03-06-2009,Cobar,12.3,17.8,13.6,0,N,19,NNE,7,95,1022.3,7,13,Yes,0.2,No
04-06-2009,Cobar,11.6,18.6,0.2,0.6,SW,26,SSE,6,97,1020.4,7,12.2,No,0,No
05-06-2009,Cobar,6.9,17.6,0,2.2,SW,15,SSW,7,86,1018.4,3,10.9,No,0,No
06-06-2009,Cobar,6.9,16.7,0,1.6,NE,28,NNE,17,72,1014.4,5,11.5,No,3.4,Yes
07-06-2009,Cobar,6.5,14.5,3.4,1.2,W,28,WNW,13,79,1011.3,2,10.2,Yes,0,No
08-06-2009,Cobar,8.8,15.8,0,1,WSW,31,WSW,17,78,1014.9,1,11.5,No,0.8,No
09-06-2009,Cobar,5.5,14.3,0.8,2.8,W,46,W,13,84,1017.4,1,8.8,No,0,No
10-06-2009,Cobar,6.2,11.5,0,1.6,SSW,31,NA,NA,NA,NA,NA,NA,No,0,No
11-06-2009,Cobar,0.2,12.1,0,2.8,SSW,31,SW,4,79,1026.6,0,5.6,No,0,No
12-06-2009,Cobar,1.9,12.8,0,1.2,NE,26,E,11,73,1025.4,3,6.9,No,0,No
13-06-2009,Cobar,6.1,18,0,1.4,NNE,35,NNE,17,68,1017.6,6,8.3,No,0.2,No
14-06-2009,Cobar,8.3,19,0.2,3.8,W,46,NNE,13,61,1012.1,6,10.8,No,0,No
15-06-2009,Cobar,4.7,14.9,0,3.4,NW,24,N,9,68,1013,6,7.9,No,0.6,No
16-06-2009,Cobar,7.9,17.1,0.6,0.6,S,20,SSE,9,91,1021,5,9.9,No,0,No
17-06-2009,Cobar,5.2,17.8,0,2.4,ENE,26,E,15,73,1026.2,0,10.6,No,0,No
18-06-2009,Cobar,6.5,17.5,0,2,E,28,ESE,17,78,1027.3,1,10.2,No,0,No
19-06-2009,Cobar,6.7,17.3,0,2.2,ESE,22,ESE,13,83,1026.2,2,10.2,No,0,No
20-06-2009,Cobar,8.5,18.4,0,2.4,NE,33,ENE,19,76,1023.2,6,12.2,No,0,No
21-06-2009,Cobar,11.7,20.1,0,2,NE,31,NE,17,78,1019.6,7,13.6,No,2,Yes
22-06-2009,Cobar,9.5,20.9,2,1.8,ENE,22,ENE,7,86,1018.8,1,13.2,Yes,0.2,No
23-06-2009,Cobar,7.4,22.3,0.2,2.2,N,33,NE,19,84,1018.7,5,12.1,No,0,No
24-06-2009,Cobar,6.5,16.7,0,3.2,W,33,NW,7,48,1016.3,1,11.3,No,0,No
25-06-2009,Cobar,7.2,16.6,0,2.6,NNW,19,NNE,6,73,1016.3,7,9.4,No,0.2,No
26-06-2009,Cobar,7.8,12.2,0.2,2.2,NNE,28,NE,6,81,1010.3,7,9.3,No,38.8,Yes
27-06-2009,Cobar,9.2,14.6,38.8,0.8,WNW,20,NNW,11,96,1006.7,7,11,Yes,6.4,Yes
28-06-2009,Cobar,9.5,16,6.4,0.6,WSW,26,WNW,9,90,1010,7,11.3,Yes,0,No
29-06-2009,Cobar,7.2,19.8,0,1.4,N,31,N,13,84,1014.1,5,9.8,No,0,No
30-06-2009,Cobar,9.8,20.7,0,2.4,N,54,NNE,13,65,1012.9,7,14.1,No,0,No
01-07-2009,Cobar,8.7,17,0,4,W,39,WNW,13,52,1012.4,0,12.6,No,0,No
02-07-2009,Cobar,4.3,16.5,0,3.4,W,41,WNW,7,59,1015.9,1,10.4,No,0,No
03-07-2009,Cobar,8.5,14.3,0,2.8,WSW,48,WSW,20,83,1016,7,10,No,0,No
04-07-2009,Cobar,7.1,13.5,0,2.6,SW,33,SW,17,85,1021.3,6,9.9,No,0,No
05-07-2009,Cobar,8.3,14.7,0,2.4,SSW,24,SSW,13,79,1021.8,7,10.6,No,0,No
06-07-2009,Cobar,4.4,12.8,0,2.2,S,22,S,6,77,1022.5,7,7.1,No,0,No
07-07-2009,Cobar,1.7,14.6,0,1,ESE,20,S,6,85,1022.1,2,5.7,No,0,No
08-07-2009,Cobar,5.3,16.6,0,2,NE,31,E,13,74,1025.1,3,9.5,No,0,No
09-07-2009,Cobar,6.3,17,0,2.2,ENE,30,E,19,64,1027.8,1,9.8,No,0,No
10-07-2009,Cobar,5.6,17.6,0,2.4,E,30,E,20,78,1025.2,2,9.1,No,0,No
11-07-2009,Cobar,8.4,18.4,0,2.8,ENE,33,NE,15,65,1019.7,4,10.9,No,0.2,No
12-07-2009,Cobar,10.5,19.5,0.2,3.4,NNE,28,NNW,9,59,1013.3,7,12.7,No,0.2,No
13-07-2009,Cobar,7.7,15.6,0.2,1.2,WNW,28,NNW,6,95,1011.6,7,9.8,No,0,No
14-07-2009,Cobar,4.6,14.7,0,1.4,WNW,35,NW,9,75,1010.7,5,8.6,No,5.8,Yes
15-07-2009,Cobar,6.3,12,5.8,2,SW,22,NNW,6,98,1008.9,8,8.1,Yes,7,Yes
16-07-2009,Cobar,6.7,13.2,7,0.6,NA,NA,WSW,9,88,1015.9,7,8.9,Yes,0,No
17-07-2009,Cobar,1.9,13.7,0,1,SW,15,WSW,4,79,1023,4,7.3,No,0,No
18-07-2009,Cobar,3.2,15.3,0,0.8,WSW,24,NNE,6,80,1023.5,3,8.7,No,0,No
19-07-2009,Cobar,3.7,17.6,0,2.2,NW,24,N,11,60,1023.7,1,10.2,No,0,No
20-07-2009,Cobar,4.7,18.5,0,2,N,33,NE,17,57,1025,0,10.2,No,0,No
21-07-2009,Cobar,8.2,22.7,0,3.8,NNW,31,N,15,48,1019.8,7,12.7,No,0,No
22-07-2009,Cobar,12.2,17.4,0,4.2,NW,43,N,13,61,1012,6,16.5,No,2.4,Yes
23-07-2009,Cobar,5.1,13,2.4,1.6,WSW,33,WSW,11,74,1019.1,1,9.2,Yes,0,No
24-07-2009,Cobar,1.2,15.5,0,1.6,ESE,20,E,7,75,1027,0,8,No,0,No
25-07-2009,Cobar,3.4,17.1,0,1.8,NNW,33,NE,13,66,1025.3,1,9.8,No,0.8,No
26-07-2009,Cobar,8.9,12.2,0.8,2.4,N,24,NNE,7,91,1018.1,8,9.1,No,1.8,Yes
27-07-2009,Cobar,4.6,11.4,1.8,0.6,SSW,30,WSW,7,99,1022.6,8,6,Yes,0,No
28-07-2009,Cobar,3.6,16.6,0,0.8,WNW,26,WNW,6,80,1027,2,9.3,No,0,No
29-07-2009,Cobar,5.3,15.1,0,2.2,SSW,24,W,4,72,1028.4,1,11.6,No,0,No
30-07-2009,Cobar,4.9,15.8,0,1.6,S,20,SW,6,90,1027.9,3,10.2,No,0,No
31-07-2009,Cobar,9.3,17.2,0,1.4,WSW,26,W,7,71,1025.4,8,11.4,No,0,No
01-08-2009,Cobar,4.7,16.3,0,2.6,SE,20,S,6,73,1028.6,0,11.1,No,0,No
02-08-2009,Cobar,5.2,17.6,0,2.2,SW,17,E,7,64,1029.4,0,12.1,No,0,No
03-08-2009,Cobar,4.6,17.8,0,2,SSW,24,W,7,60,1026.2,1,12.4,No,0,No
04-08-2009,Cobar,5.6,18.7,0,NA,SSW,20,ENE,4,60,1023.1,NA,12.4,No,0,No
05-08-2009,Cobar,5.9,19.9,0,5,SW,20,NNW,4,64,1022.9,5,11.4,No,0,No
06-08-2009,Cobar,8,20.5,0,2.4,NNW,26,NNE,13,50,1023,5,13.1,No,0,No
07-08-2009,Cobar,7.2,19.2,0,4.2,SW,44,NNW,15,40,1018.1,1,15,No,0,No
08-08-2009,Cobar,2.3,16.2,0,4.2,ESE,24,SSE,9,48,1025.2,0,8.3,No,0,No
09-08-2009,Cobar,1.7,17.6,0,3.2,NNE,19,NE,9,55,1020.7,7,7.7,No,0,No
10-08-2009,Cobar,6.2,21.4,0,2.4,NNE,43,E,7,48,1016.1,7,10.7,No,0,No
11-08-2009,Cobar,8.4,19.1,0,5.4,NW,44,W,15,55,1012.7,1,12.8,No,0,No
12-08-2009,Cobar,7.5,19.3,0,4,SW,37,NNW,6,43,1014.6,1,14.5,No,0,No
13-08-2009,Cobar,4.1,19,0,3.8,SW,28,ENE,2,53,1017.8,0,14,No,0,No
14-08-2009,Cobar,6.5,20.3,0,2.4,SSE,17,ENE,6,46,1021.9,0,15.5,No,0,No
15-08-2009,Cobar,7.4,22.8,0,3.6,NE,35,N,17,43,1020.8,0,13.7,No,0,No
16-08-2009,Cobar,13.4,28,0,6.4,NW,57,NNE,26,25,1013.4,7,17.6,No,0,No
17-08-2009,Cobar,7.8,18.2,0,6,SW,37,SSW,15,47,1021.2,0,13.1,No,0,No
18-08-2009,Cobar,5.2,18.8,0,3.4,ESE,26,ENE,7,36,1029.4,0,13.4,No,0,No
19-08-2009,Cobar,4.9,21.3,0,4,NNW,24,ENE,6,51,1026.9,2,12.8,No,0,No
20-08-2009,Cobar,10,22.8,0,3.4,WSW,22,ENE,2,37,1019.8,6,16.6,No,0,No
21-08-2009,Cobar,10.5,27.6,0,4,WNW,61,N,20,37,1009.3,6,18.7,No,0.4,No
22-08-2009,Cobar,11.9,19.9,0.4,6.2,N,30,NNE,13,68,1012.1,7,14.7,No,0.2,No
23-08-2009,Cobar,14.1,28.9,0.2,2.2,WNW,37,NE,13,69,1011.2,7,17.2,No,0,No
24-08-2009,Cobar,15.4,23.2,0,4.2,WNW,57,NNE,6,74,1010.5,7,17.8,No,0,No
25-08-2009,Cobar,10.4,17.5,0,6,WSW,65,SW,20,42,1015.5,4,12.2,No,0,No
26-08-2009,Cobar,6.2,18.8,0,4.2,W,22,SSE,9,51,1021.4,0,12,No,0,No
27-08-2009,Cobar,5.2,23.3,0,3.4,NW,31,NNE,13,34,1019.9,0,15.5,No,0,No
28-08-2009,Cobar,6.5,23.7,0,4.8,ENE,24,NNE,11,32,1017.8,3,16.6,No,0.4,No
29-08-2009,Cobar,15.4,26.7,0.4,5.2,WSW,48,N,19,40,1004.8,7,20.7,No,0,No
30-08-2009,Cobar,9.3,16.3,0,7.8,WSW,54,SW,24,47,1020,1,11.3,No,0,No
31-08-2009,Cobar,3.5,18.2,0,4,WNW,35,WSW,6,44,1023.5,1,11.9,No,0,No
01-09-2009,Cobar,6.6,21.1,0,4.8,NE,22,SSE,4,47,1023.7,0,15.2,No,0,No
02-09-2009,Cobar,7.4,22.9,0,3.8,E,39,ENE,13,40,1022.5,0,15.8,No,0,No
04-09-2009,Cobar,12.6,21.7,NA,NA,SW,28,WNW,2,96,1015.2,8,15.3,NA,8,Yes
05-09-2009,Cobar,6.1,19,8,6,SW,30,SSW,7,57,1019.7,0,13,Yes,0,No
06-09-2009,Cobar,6.7,21.7,0,3.8,NE,39,NE,13,45,1017.3,0,14.5,No,0,No
